Response ID,Start Date,End Date,Status,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,Email,Business Name,Region,Business Size,Annual Revenue Band,Years in Business,Machine Count,Primary Business Model,Customer Mix,Current Pricing Method,Price Review Frequency,Q1: Calculate production/material cost before quoting,"Q2: Include thread, stabilizer, waste, and overhead in price",Q3: Track hands-on embroidery labor time,"Q4: Include admin, artwork, proofing, and customer time",Q5: Set intended profit target before pricing,Q6: Review margin after job completion,Q7: Adjust pricing for rush work or full schedule,Q8: Use capacity/backlog pressure in pricing decisions,"Q9: Consider customer value/use case, not only stitch count",Q10: Can explain price based on value delivered,Open Comment,_simulated_raw_issue
R_PD_000011,04/30/2026 17:17,04/30/2026 17:29,IP Address,100,685,Y,2026-04-30T17:29:30Z,web,EN,office+nnep@stitchdesignscollectiv.example,Stitch Designs Collective,Northeast,30 employees,500k-1M,20+,20 machines,Custom embroidery,Corporate/commercial,hybrid,as needed,Always,We use a calculator/spreadsheet,Always,Rough estimate,"Yes, documented",Partially,We use a calculator/spreadsheet,Yes,We review and adjust,Always,,clean
R_PD_000012,"Feb 20, 2026 12:09 AM",02/20/2026 00:19,IP Address,100,574,Y,2026-02-20T00:19:06Z,web,EN,hello@silverdecoratedgoodsco.example,Silver Decorated Goods Collective,Midwest,Solo,$100k-$250k,8 yrs,1,Decorated apparel,Mostly consumers,I quote each job,rarely,Not yet,No,Not really,I don't track this,No,I usually guess,Not really,No,Not really,No consistent process,,clean
R_PD_000013,2026-03-26T17:02:12Z,2026-03-26T17:13:24Z,IP Address,100,672,True,2026-03-26 17:13:25,social,en-US,contact@luckyneedleworksstudio.example,Lucky Needleworks Studio,West,3 employees,under $50k,8,3-head,Custom embroidery,Mostly consumers,mostly stitch count,annually,Built into our quote process,Built into our quote process,Sometimes,Yes,Yes,Always,Always,"Yes, documented",We review and adjust,Built into our quote process,Pricing is the hardest part of the business.,clean
R_PD_000014,03/02/26 03:23 PM,03/02/2026 15:30,IP Address,100,423,TRUE,03/02/2026 15:30,newsletter,English,hello0@heritagebrandingshop.example,Heritage Branding Shop,Northeast,11 to 25 employees,n/a,2 years,10+,Contract embroidery,Small business/local orgs,case by case,every year,Yes,Depends on the job,Not really,Sometimes,Sometimes,I have a basic spreadsheet,Depends on the job,No consistent process,Sometimes,Rough estimate,We are trying to stop undercharging.,clean
R_PD_000015,02/08/2026 12:15,2026-02-08 12:25:01,IP Address,100,581,True,02/08/2026 12:25,web,EN,sales@cedarmonogramsllc.example,Cedar Monograms LLC,South,2-5 employees,$1m+,6 years,2,Custom embroidery,Mixed,costing worksheet,only when vendors raise prices,Depends on the job,Not yet,No,Partially,Rough estimate,I have a basic spreadsheet,Not really,I don't track this,No,No,Most customers compare us by stitch count.,clean
R_PD_000016,05/21/2026 14:28,05/21/2026 14:35,IP Address,100,433,TRUE,05/21/2026 14:36,social,English,quotes3@prairielogoshopstudio.example,Prairie Logo Shop Studio,Midwest,just me,100k-250k,20+,1 machines,Mixed services,Small business/local orgs,stitch count,as needed,Yes,Built into our quote process,Yes,,I have a basic spreadsheet,Partially,Yes,Not really,"Yes, documented",For larger jobs only,I need a better way to account for setup time.,clean
R_PD_000017,02/13/26 03:12 AM,02/13/26 03:17 AM,IP Address,100,291,Complete,02/13/26 03:18 AM,web,English,,Heritage Designs Group,Northeast,just me,$50k-$100k,10,three,Contract embroidery,Schools/teams,cost based,once a year,Sometimes,We review and adjust,Depends on the job,Not yet,I usually guess,Partially,No,Sometimes,Partially,Sometimes,Rush jobs are where we get into trouble.,clean
R_PD_000018,04/05/2026 07:08,2026-04-05T07:15:58Z,IP Address,100,461,Complete,"Apr 05, 2026 07:16 AM",social,en-US,sales @ silverdigitizing.example,Silver Digitizing,South,small team,Under $50k,about 13,1 machines,Mixed services,Mostly consumers,custom quote,every year,I have a basic spreadsheet,Not yet,Not really,For larger jobs only,I don't track this,Not really,I usually guess,I don't track this,I usually guess,I usually guess,We are trying to stop undercharging.,clean
R_PD_000019,2026-03-13T02:28:22Z,"Mar 13, 2026 02:33 AM",IP Address,100,312,TRUE,2026-03-13 02:34:00,web,EN,office@hoopcustoms.example,Hoop Customs,,6 to 10,50k-100k,about 14,5 heads,Mixed services,Mostly consumers,stitch rate,once a year,We use a calculator/spreadsheet,Sometimes,"Yes, documented",Yes,We review and adjust,Built into our quote process,Rough estimate,I have a basic spreadsheet,Sometimes,Partially,Rush jobs are where we get into trouble.,clean
R_PD_000020,2026-03-25T16:58:55Z,03/25/26 05:08 PM,IP Address,100,560,Complete,03/25/2026 17:08,anonymous,English,owner@pinecustomscompany.example,Pine Customs Company,South,6-10 employees,500k-1M,since 2008,4 machines,Custom embroidery,Mostly consumers,stitch count,each estimate,Sometimes,Always,I have a basic spreadsheet,Not really,Sometimes,Sometimes,I usually guess,Partially,Partially,No consistent process,Most customers compare us by stitch count.,clean
R_PD_000021,03/25/26 07:31 AM,2026-03-25 07:37:48,IP Address,100,369,True,2026-03-25 07:38:24,web,EN,SALES@GOLDENWORKSSHOP.EXAMPLE,Golden Works Shop,West,2-5,$50k-$100k,since 2018,3 machines,Mixed services,Mixed,gut feel,every few months,For larger jobs only,We review and adjust,Sometimes,For larger jobs only,I have a basic spreadsheet,For larger jobs only,I usually guess,I have a basic spreadsheet,Partially,I have a basic spreadsheet,Rush jobs are where we get into trouble.,clean
R_PD_000022,04/05/2026 21:51,04/05/2026 21:59,IP Address,100,494,TRUE,"Apr 05, 2026 10:00 PM",anonymous,en-US,contact2@redbarndesignscollecti.example,Red Barn Designs Collective,Northeast,3 employees,100k-250k,13 years,2-head,Decorated apparel,Mixed,stitch rate,when costs change,Rough estimate,Yes,Partially,We use a calculator/spreadsheet,Not yet,For larger jobs only,No,I have a basic spreadsheet,I usually guess,For larger jobs only,Rush jobs are where we get into trouble.,clean
R_PD_000023,2026-05-10 13:59:17,2026-05-10T14:04:05Z,IP Address,100,288,Y,2026-05-10 14:04:28,email,English,OWNER3@SUMMITCUSTOMSGROUP.EXAMPLE,Summit Customs Group,South,6 to 10,$500k-$1m,13,5 heads,Decorated apparel,Corporate/commercial,competitive pricing,only when vendors raise prices,Partially,Rough estimate,For larger jobs only,I have a basic spreadsheet,I have a basic spreadsheet,I have a basic spreadsheet,No,I don't track this,Partially,,Rush jobs are where we get into trouble.,clean
R_PD_000024,"Apr 15, 2026 01:01 PM",2026-04-15T13:11:51Z,IP Address,100,592,True,04/15/2026 13:12,email,EN,info@threadstitchcocollecti.example,Thread Stitch Co. Collective,West,6 to 10,$500k-$1m,29 years,5 machines,Custom embroidery,Corporate/commercial,by stitch,before every quote,"Yes, documented","Yes, documented",We review and adjust,Yes,We use a calculator/spreadsheet,Partially,Built into our quote process,Always,Always,Built into our quote process,Most customers compare us by stitch count.,clean
R_PD_000025,"Jun 03, 2026 11:50 PM",2026-06-04 00:00:29,IP Address,100,614,Y,2026-06-04 00:01:07,social,English,contact+nnep@needleteamwearcollecti.example,Needle Teamwear Collective,Midwest,3 employees,$250k-$500k,8 years,2-head,Custom embroidery,Schools/teams,hybrid,rarely,For larger jobs only,Partially,Depends on the job,For larger jobs only,Not really,I have a basic spreadsheet,Depends on the job,I don't track this,I have a basic spreadsheet,Rough estimate,Pricing is the hardest part of the business.,clean
R_PD_000026,03/04/26 09:41 PM,"Mar 04, 2026 09:48 PM",IP Address,100,375,True,2026-03-04T21:48:52Z,anonymous,en-US, sales@crownwearablescompany.example ,Crown Wearables Company,Midwest,owner only,250k-500k,about 24,1 machines,Decorated apparel,Schools/teams,what the job is worth,every job,Yes,We use a calculator/spreadsheet,We use a calculator/spreadsheet,Built into our quote process,Sometimes,We use a calculator/spreadsheet,We use a calculator/spreadsheet,Built into our quote process,Yes,Partially,Most customers compare us by stitch count.,clean
R_PD_000027,2026-04-22T21:47:20Z,04/22/2026 21:57,IP Address,100,589,TRUE,2026-04-22 21:58:30,anonymous,English,owner0+nnep@hoopstudiollc.example,Hoop Studio LLC,West,11-25,n/a,2,15 machines,Custom embroidery,Small business/local orgs,mostly stitch count,not often,Partially,We review and adjust,Sometimes,Rough estimate,For larger jobs only,For larger jobs only,I have a basic spreadsheet,For larger jobs only,Sometimes,I don't track this,Rush jobs are where we get into trouble.,clean
R_PD_000028,2026-04-04T13:54:50Z,"Apr 04, 2026 02:03 PM",IP Address,100,497,Complete,2026-04-04T14:04:21Z,anonymous,en-US,office@bobbinteamwearcompany.example,Bobbin Teamwear Company,Northeast,larger shop,$100k-$250k,20+,8 heads,Custom embroidery,Corporate/commercial,hybrid,every job,Always,Always,Yes,Built into our quote process,Yes,We review and adjust,Always,Always,Built into our quote process,We use a calculator/spreadsheet,I need a better way to account for setup time.,clean
R_PD_000029,"Feb 09, 2026 03:07 PM",02/09/2026 15:19,IP Address,100,694,True,2026-02-09 15:19:20,social,en-US,quotes@brightmonogramsgroup.example,Bright Monograms Group,West,mid-size shop,About $250k-$500k,about 1,10+,Decorated apparel,Mixed,stitch count,annually,Yes,For larger jobs only,I have a basic spreadsheet,Partially,Depends on the job,For larger jobs only,Not really,Rough estimate,For larger jobs only,Always,Rush jobs are where we get into trouble.,clean
R_PD_000030,02/15/26 01:15 PM,02/15/26 01:24 PM,IP Address,100,525,Y,02/15/2026 13:25,web,English, sales@oakworksshop.example ,Oak Works Shop,West,2 to 5 employees,Under 50k,about 1,two,Mixed services,Mostly consumers,case by case,only when vendors raise prices,I have a basic spreadsheet,Partially,Rough estimate,I have a basic spreadsheet,Sometimes,For larger jobs only,I usually guess,I have a basic spreadsheet,I have a basic spreadsheet,Rough estimate,,clean
R_PD_000031,2026-02-15 07:37:21,02/15/26 07:40 AM,IP Address,100,165,True,02/15/26 07:41 AM,newsletter,en-US,sales@lakesidestitchcocompan.example,Lakeside Stitch Co. Company,Midwest,2 to 5 employees,$250k-$500k,16 yrs,4,Contract embroidery,Corporate/commercial,manual estimate,before every quote,Partially,Depends on the job,For larger jobs only,Sometimes,Sometimes,Sometimes,Sometimes,Not yet,Partially,I usually guess,Rush jobs are where we get into trouble.,clean
R_PD_000032,"Mar 03, 2026 12:34 PM",2026-03-03T12:42:58Z,IP Address,100,504,True,2026-03-03 12:43:18,newsletter,English,quotes@prairiecustomsshop.example,Prairie Customs Shop,South,small team,under $50k,9,2,Mixed services,Mixed,job costing,when costs change,Rough estimate,Sometimes,I don't track this,Built into our quote process,Rough estimate,I have a basic spreadsheet,Depends on the job,I have a basic spreadsheet,For larger jobs only,Not yet,We are trying to stop undercharging.,clean
R_PD_000033,03/14/2026 06:08,2026-03-14T06:13:41Z,IP Address,100,291,Y,2026-03-14T06:13:43Z,email,English,owner@urbandecoratedgoodscom.example,Urban Decorated Goods Company,West,larger shop,500k-1M,20+,15 heads,,Mixed,value based,every year,"Yes, documented","Yes, documented",We review and adjust,"Yes, documented",Built into our quote process,Always,I have a basic spreadsheet,Depends on the job,Always,Always,,clean
R_PD_000034,02/10/2026 23:47,02/10/26 11:54 PM,IP Address,100,402,TRUE,2026-02-10 23:54:59,web,English,hello+nnep@lakesidestudioshop.example,Lakeside Studio Shop,West,just me,Prefer not to say,about 5,2 heads,Decorated apparel,Corporate/commercial,depends,quarterly,For larger jobs only,I have a basic spreadsheet,I have a basic spreadsheet,Sometimes,Not really,No,Not really,Not really,For larger jobs only,I usually guess,,clean
R_PD_000035,2026-05-30T09:46:35Z,05/30/2026 09:53,IP Address,100,417,Y,2026-05-30T09:53:58Z,social,en-US,HELLO@CROWNEMBROIDERYLLC.EXAMPLE,Crown Embroidery LLC,,owner only,$50k-$100k,0 years,1 machines,Mixed services,Mostly consumers,competitive pricing,before every quote,I have a basic spreadsheet,For larger jobs only,Sometimes,Sometimes,For larger jobs only,Rough estimate,I don't track this,Not really,I have a basic spreadsheet,We use a calculator/spreadsheet,,clean
R_PD_000036,02/16/26 04:53 PM,2026-02-16 17:04:39,IP Address,100,643,TRUE,"Feb 16, 2026 05:05 PM",social,EN,hello@prairiedesignsshop.exmaple,Prairie Designs Shop,South,2 to 5 employees,About $50k-$100k,0 years,5,Decorated apparel,Small business/local orgs,per 1000 stitches,each estimate,For larger jobs only,No,No consistent process,I usually guess,No,I don't track this,No consistent process,For larger jobs only,Depends on the job,I don't track this,We are trying to stop undercharging.,clean
R_PD_000037,"Jun 05, 2026 03:35 PM",06/05/26 03:41 PM,IP Address,100,327,True,06/05/2026 15:41,newsletter,EN,owner+nnep@silverprintstitchcolle.example,Silver Print & Stitch Collective,Midwest,2-5,$250k-$500k,since 2019,2 heads,,Mixed,by stitch,quarterly,Yes,"Yes, documented",We use a calculator/spreadsheet,Sometimes,For larger jobs only,Rough estimate,Depends on the job,For larger jobs only,For larger jobs only,Partially,,clean
R_PD_000038,04/30/26 12:07 AM,04/30/26 12:16 AM,IP Address,100,505,TRUE,2026-04-30T00:17:10Z,newsletter,EN,hello@oakstitchcoshop.example,Oak Stitch Co. Shop,West,Solo,About $100k-$250k,new,2 heads,Contract embroidery,Small business/local orgs,costing worksheet,rarely,No consistent process,Depends on the job,I usually guess,Depends on the job,I don't track this,No consistent process,No consistent process,Rough estimate,I don't track this,Not yet,,clean
R_PD_000039,2026-05-13 03:40:13,2026-05-13 03:51:11,IP Address,100,658,True,05/13/26 03:51 AM,newsletter,en-US,owner@redbarnthreadsshop.example,RED BARN THREADS SHOP,West,one-person shop,Under 50k,0,one,Contract embroidery,Mixed,stitch count,when I remember,Rough estimate,I have a basic spreadsheet,I don't track this,For larger jobs only,I don't track this,I usually guess,I don't track this,I don't track this,I don't track this,I usually guess,Most customers compare us by stitch count.,clean
R_PD_000040,"May 16, 2026 11:58 AM",05/16/26 12:05 PM,IP Address,100,401,True,05/16/26 12:06 PM,web,en-US,office0@redbarndesignsllc.example,Red Barn Designs LLC,Midwest,26+,$50k-$100k,more than 20,12 machines,Mixed services,Schools/teams,spreadsheet + stitch count,each quarter,"Yes, documented",Always,We use a calculator/spreadsheet,"Yes, documented",Built into our quote process,Always,We review and adjust,Partially,Yes,Depends on the job,Most customers compare us by stitch count.,clean
R_PD_000041,2026-04-10T16:26:19Z,04/10/2026 16:36,IP Address,100,637,Y,"Apr 10, 2026 04:36 PM",anonymous,English, info@blueridgewearablesshop.example ,Blue Ridge Wearables Shop,South,Solo,Under 50k,about 7,1-head,Decorated apparel,Mixed,depends,each quarter,Not really,For larger jobs only,I usually guess,Depends on the job,No consistent process,Not really,No consistent process,Not yet,Not really,I don't track this,I need a better way to account for setup time.,clean
R_PD_000042,05/27/2026 05:00,"May 27, 2026 05:06 AM",IP Address,100,367,Y,"May 27, 2026 05:06 AM",anonymous,EN,office2@blueridgeworks.example,Blue Ridge Works,Northeast,over 25,$500k-$1m,23 years,10-head,Promotional products,Mixed,calculator,yearly,"Yes, documented",We review and adjust,For larger jobs only,"Yes, documented",Rough estimate,We review and adjust,We review and adjust,"Yes, documented",Always,Always,Pricing is the hardest part of the business.,clean
R_PD_000043,05/14/2026 09:17,2026-05-14T09:28:14Z,IP Address,100,620,TRUE,05/14/2026 09:28,social,en-US,quotes@urbanworkscollective.example,Urban Works Collective,Midwest,Solo,,13 years,2 heads,Decorated apparel,Schools/teams,manual estimate,if supplies go up,Partially,I have a basic spreadsheet,Not really,No consistent process,Sometimes,No consistent process,No,I usually guess,I don't track this,No,Pricing is the hardest part of the business.,clean
R_PD_000044,04/22/26 12:13 PM,"Apr 22, 2026 12:17 PM",IP Address,100,275,Y,"Apr 22, 2026 12:18 PM",social,EN,owner@bobbinteamwearstudio.example,BOBBIN TEAMWEAR STUDIO,South,2-5,$100k-$250k,15 years,2-head,Mixed services,Contract/B2B,hourly,if supplies go up,Depends on the job,I have a basic spreadsheet,I have a basic spreadsheet,Partially,Rough estimate,Partially,No consistent process,For larger jobs only,Depends on the job,I usually guess,Most customers compare us by stitch count.,clean
R_PD_000045,2026-03-10T02:25:29Z,"Mar 10, 2026 02:34 AM",IP Address,100,532,TRUE,03/10/2026 02:34,web,English,office@bobbinmonogramscollect.example,Bobbin Monograms Collective,West,small team,About $250k-$500k,23 yrs,2-head,Custom embroidery,Small business/local orgs,costing worksheet,when costs change,We review and adjust,"Yes, documented",We use a calculator/spreadsheet,We review and adjust,Partially,For larger jobs only,Sometimes,I have a basic spreadsheet,I have a basic spreadsheet,Sometimes,Most customers compare us by stitch count.,clean
R_PD_000046,2026-06-01T16:25:26Z,06/01/26 04:35 PM,IP Address,100,592,True,2026-06-01T16:36:26Z,newsletter,EN,contact@willowdesignsgroup.example,Willow Designs Group,Northeast,2 to 5 employees,250k-500k,28 years,3 machines,Decorated apparel,Contract/B2B,by stitch,once a year,Rough estimate,I have a basic spreadsheet,Not really,Partially,Depends on the job,Depends on the job,Rough estimate,Not yet,Always,Partially,Rush jobs are where we get into trouble.,clean
R_PD_000047,05/05/2026 06:19,"May 05, 2026 06:24 AM",IP Address,100,289,Complete,2026-05-05T06:24:59Z,anonymous,English,office@goldenteamwearllc.example,Golden Teamwear LLC,Midwest,owner only,$50k-$100k,22,single head,Custom embroidery,Schools/teams,market rate,when I remember,Partially,Depends on the job,Sometimes,Depends on the job,Not really,Rough estimate,Partially,No,I have a basic spreadsheet,I have a basic spreadsheet,I need a better way to account for setup time.,clean
R_PD_000048,2026-03-01 15:11:37,"Mar 01, 2026 03:27 PM",IP Address,100,936,Complete,03/01/2026 15:28,email,en-US,contact+nnep@stitchstudiocollective.example,Stitch Studio Collective,West,owner only,Under 50k,new,2,Mixed services,Mostly consumers,match local shops,as needed,Not yet,Not yet,No,I don't track this,No,No,Not yet,No,Not really,I usually guess,We are trying to stop undercharging.,clean
R_PD_000049,02/27/26 09:17 PM,"Feb 27, 2026 09:28 PM",IP Address,100,620,TRUE,2026-02-27 21:29:33,email,en-US,quotes@northstarteamwearshop.example,North Star Teamwear Shop,South,Solo,250k-500k,25 years,one,Promotional products,,custom quote,every few months,Partially,Yes,Depends on the job,Sometimes,I have a basic spreadsheet,Depends on the job,Sometimes,I usually guess,I usually guess,Depends on the job,I need a better way to account for setup time.,clean
R_PD_000050,"Feb 18, 2026 04:12 PM",2026-02-18T16:17:36Z,IP Address,100,282,Y,02/18/2026 16:18,web,English,quotes@urbanlogoshopstudio.example,Urban Logo Shop Studio,Midwest,mid-size shop,$100k-$250k,since 2024,6 heads,Custom embroidery,Schools/teams,what competitors charge,when I remember,Partially,Rough estimate,Not yet,,No consistent process,Not really,No consistent process,I usually guess,I usually guess,I don't track this,Rush jobs are where we get into trouble.,clean
R_PD_000051,02/15/26 07:20 PM,02/15/2026 19:28,IP Address,100,443,True,2026-02-15T19:28:23Z,web,en-US,info5@prairiedigitizingstudi.example,Prairie Digitizing Studio,Northeast,2-5 employees,,20+,2 machines,Mixed services,Contract/B2B,hourly,as needed,Yes,Partially,Depends on the job,For larger jobs only,I have a basic spreadsheet,Depends on the job,Rough estimate,I usually guess,Partially,Depends on the job,I need a better way to account for setup time.,clean
R_PD_000052,2026-05-01T20:17:43Z,05/01/2026 20:21,IP Address,100,254,TRUE,2026-05-01T20:22:39Z,anonymous,English,contact@cedarstitchcocompany.example,Cedar Stitch Co. Company,Midwest,3 employees,$50k-$100k,10 yrs,4 machines,Mixed services,Schools/teams,mostly stitch count,only when vendors raise prices,Always,We review and adjust,Sometimes,Sometimes,Depends on the job,Sometimes,For larger jobs only,Not really,Always,I have a basic spreadsheet,,clean
R_PD_000053,2026-05-06T04:53:37Z,05/06/2026 04:59,IP Address,100,324,Complete,2026-05-06 05:00:25,web,en-US,office@threadteamwearllc.example,Thread Teamwear LLC,Canada/Other,6-10 employees,n/a,20+,8,Custom embroidery,Schools/teams,market rate,only when vendors raise prices,Always,Always,For larger jobs only,Depends on the job,Depends on the job,Rough estimate,For larger jobs only,I have a basic spreadsheet,Always,For larger jobs only,Rush jobs are where we get into trouble.,clean
R_PD_000054,05/30/26 01:43 AM,2026-05-30 01:51:01,IP Address,100,431,Y,2026-05-30 01:51:51,social,en-US,sales1@heritagelogoshopcompan.example,Heritage Logo Shop Company,West,owner only,$50k-$100k,0,1-head,Decorated apparel,Contract/B2B,labor hours,rarely,I usually guess,Not yet,No consistent process,Not yet,Not yet,I usually guess,Not yet,I usually guess,Not really,No consistent process,We are trying to stop undercharging.,clean
R_PD_000055,02/19/2026 23:07,2026-02-19 23:18:23,IP Address,100,665,TRUE,"Feb 19, 2026 11:19 PM",anonymous,English,info@redbarnwearablescompan.example,Red Barn Wearables Company,West,solo,Under $50k,about 9,2 machines,Mixed services,Small business/local orgs,I quote each job,once a year,I have a basic spreadsheet,Sometimes,,Depends on the job,I have a basic spreadsheet,No consistent process,Partially,I don't track this,For larger jobs only,No,,clean
R_PD_000056,2026-03-01 10:26:50,03/01/2026 10:35,IP Address,100,512,TRUE,03/01/2026 10:35,social,en-US,info@rivercreativestudio.example,River Creative Studio,Midwest,solo,$250k-$500k,10,1 heads,Custom embroidery,Contract/B2B,labor hours,when I remember,Partially,I have a basic spreadsheet,No consistent process,I usually guess,Rough estimate,No consistent process,Not really,For larger jobs only,I have a basic spreadsheet,I don't track this,We are trying to stop undercharging.,clean
R_PD_000057,03/08/26 04:05 AM,2026-03-08 04:17:15,IP Address,100,732,True,2026-03-08T04:18:35Z,anonymous,en-US,hello@sunriselogoshopgroup.example,Sunrise Logo Shop Group,Canada/Other,2-5,$250k-$500k,18 years,four,Custom embroidery,Mixed,stitch count,,Depends on the job,Depends on the job,I usually guess,For larger jobs only,I don't track this,Rough estimate,I don't track this,No,I usually guess,Sometimes,Pricing is the hardest part of the business.,clean
R_PD_000058,02/04/26 10:54 AM,02/04/2026 11:07,IP Address,100,822,Y,02/04/26 11:08 AM,newsletter,EN, office@goldenembroidery.example ,Golden Embroidery,Northeast,3 employees,About $250k-$500k,10 years,2 machines,Promotional products,Mixed,job costing,rarely,For larger jobs only,I have a basic spreadsheet,Partially,I usually guess,Depends on the job,No,Partially,For larger jobs only,Depends on the job,Sometimes,,clean
R_PD_000059,03/20/2026 16:54,03/20/26 05:06 PM,IP Address,100,694,TRUE,2026-03-20 17:07:36,email,EN,hello@crownneedleworksstudio.example,Crown Needleworks Studio,Northeast,over 25,$500k-$1m,31,20-head,Custom embroidery,Small business/local orgs,cost+margin,before every quote,Yes,Always,Always,,Depends on the job,Sometimes,Always,Built into our quote process,Yes,"Yes, documented",,clean
