canonical_email,business_name_clean,region,business_size,annual_revenue_band,years_in_operation,years_in_operation_band,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag,Open Comment,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,business_size_segment,revenue_segment,experience_segment,pricing_method_segment,customer_focus_segment,weakest_driver_segment,region_segment
quotes1@mainstreetthreadsstudi.example,Main Street Threads Studio,Northeast,2-5 employees,$250k-$500k,12,11-20,3,Custom embroidery,Mostly consumers,Stitch-count based,Annually,4,2,2,2,2,12,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,2,2,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Consumer,Real Labor,Northeast
sales@needlecreativellc.example,Needle Creative Llc,Northeast,Solo owner/operator,Prefer not to say,9,6-10,1,Decorated apparel,Mixed,Stitch-count based,Unknown,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True,,0,1,0,0,0,0,0,0,0,0,Solo owner/operator,Unknown,Established (4-10),Stitch-count based,Mixed,Real Labor,Northeast
owner@cedarcustomsshop.example,Cedar Customs Shop,South,Solo owner/operator,Under $50k,13,11-20,1,Mixed services,Mixed,Unknown,Annually,3,3,3,2,3,14,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,1,1,2,2,1,1,1,2,1,Solo owner/operator,Under $100k,Veteran (11-20),Unknown,Mixed,Capacity Pressure,South
info@bobbinbrandingcollecti.example,Bobbin Branding Collective #1682,West,Solo owner/operator,$50k-$100k,9,6-10,1,Custom embroidery,Small business/local orgs,Cost-plus,Quarterly,3,4,4,4,3,18,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,1,2,2,2,2,2,2,1,2,Solo owner/operator,Under $100k,Established (4-10),Cost-plus,Mixed,Production Cost,West
office@goldenembroidery.example,Golden Embroidery,Northeast,2-5 employees,$100k-$250k,10,6-10,2,Promotional products,Mixed,Hybrid/job costing,Rarely/never,2,1,1,2,2,8,Partial Pricing System,False,True,True,False,,1,1,1,0,1,0,1,1,1,1,2-5 employees,$100k-$500k,Established (4-10),Hybrid/job costing,Mixed,Real Labor,Northeast
office@heritageneedleworkscom.example,Heritage Needleworks Company,Midwest,Solo owner/operator,$250k-$500k,0,<2,2,Custom embroidery,Small business/local orgs,Competitor-based,Unknown,1,0,1,0,0,2,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,0,1,0,0,1,0,0,0,0,0,Solo owner/operator,$100k-$500k,Newcomer (0-3 yrs),Competitor-based,Mixed,Real Labor,Midwest
hello@blueridgewearablescoll.example,Blue Ridge Wearables Collective,Unknown,2-5 employees,$500k-$1M,2,2-5,6,Mixed services,Unknown,Cost-plus,Unknown,4,4,2,2,2,14,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,2,2,2,2,1,1,1,1,1,1,2-5 employees,$500k+,Newcomer (0-3 yrs),Cost-plus,Mixed,Intended Profit,Unknown
sales@bobbindecoratedgoodssh.example,Bobbin Decorated Goods Shop,Midwest,Solo owner/operator,$250k-$500k,0,<2,5,Contract embroidery,Small business/local orgs,Informal/custom quote,Unknown,0,1,0,0,0,1,Pricing Blind Spots,False,True,True,True,,0,0,1,0,0,0,0,0,0,0,Solo owner/operator,$100k-$500k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Production Cost,Midwest
hello@riverdigitizingllc.example,River Digitizing Llc,Unknown,2-5 employees,$100k-$250k,15,11-20,10,Decorated apparel,Mostly consumers,Unknown,Quarterly,3,3,4,3,4,17,Strong Pricing System,True,False,False,False,,1,2,2,1,2,2,2,1,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,Consumer,Production Cost,Unknown
office@sunriseembroiderystudi.example,Sunrise Embroidery Studio,West,2-5 employees,$100k-$250k,0,<2,4,Team/school spiritwear,Corporate/commercial,Cost-plus,When costs change,3,3,2,2,2,12,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,2,1,2,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Cost-plus,B2B,Intended Profit,West
office1@willowdesignscollectiv.example,Willow Designs Collective,Northeast,Solo owner/operator,Under $50k,2,2-5,2,Decorated apparel,Mostly consumers,Informal/custom quote,When costs change,0,1,0,0,0,1,Pricing Blind Spots,False,True,True,True,Rush jobs are where we get into trouble.,0,0,0,1,0,0,0,0,0,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Informal/custom quote,Consumer,Production Cost,Northeast
hello@urbanembroideryllc1541.example,Urban Embroidery Llc #1541,West,2-5 employees,$500k-$1M,9,6-10,2,Contract embroidery,Mostly consumers,Cost-plus,Before every quote,2,2,1,1,2,8,Partial Pricing System,False,False,True,True,I need a better way to account for setup time.,1,1,1,1,0,1,0,1,1,1,2-5 employees,$500k+,Established (4-10),Cost-plus,Consumer,Intended Profit,West
office4@needleteamwearcollecti.example,Needle Teamwear Collective,South,2-5 employees,$50k-$100k,18,11-20,3,Decorated apparel,Mixed,Informal/custom quote,Unknown,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True,Pricing is the hardest part of the business.,0,1,0,0,0,0,0,0,0,0,2-5 employees,Under $100k,Veteran (11-20),Informal/custom quote,Mixed,Real Labor,South
quotes@ironwearablesstudio164.example,Iron Wearables Studio #1646,Midwest,6-10 employees,$250k-$500k,4,2-5,2,Contract embroidery,Mostly consumers,Informal/custom quote,When costs change,1,0,0,0,2,3,Pricing Blind Spots,False,True,True,True,Pricing is the hardest part of the business.,1,0,0,0,0,0,0,0,1,1,6-10 employees,$100k-$500k,Established (4-10),Informal/custom quote,Consumer,Real Labor,Midwest
hello@blueridgestitchcogroup.example,Blue Ridge Stitch Co. Group,West,2-5 employees,$250k-$500k,0,<2,3,Custom embroidery,Contract/B2B,Cost-plus,Rarely/never,2,0,1,0,0,3,Pricing Blind Spots,False,True,True,True,Pricing is the hardest part of the business.,1,1,0,0,0,1,0,0,0,0,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Cost-plus,B2B,Real Labor,West
hello4@heritagethreads1585.example,Heritage Threads #1585,Midwest,Solo owner/operator,$50k-$100k,2,2-5,1,Mixed services,Mixed,Hybrid/job costing,Annually,2,3,3,2,2,12,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,1,1,1,2,2,1,1,1,1,1,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Hybrid/job costing,Mixed,Production Cost,Midwest
quotes@stitchdesignscompany16.example,Stitch Designs Company #1658,Midwest,Unknown,$100k-$250k,20,11-20,3,Contract embroidery,Schools/teams,Hybrid/job costing,Unknown,2,1,2,2,1,8,Partial Pricing System,False,True,False,False,Rush jobs are where we get into trouble.,1,1,0,1,1,1,1,1,1,0,Unknown,$100k-$500k,Veteran (11-20),Hybrid/job costing,Mixed,Real Labor,Midwest
info@prairiebrandinggroup16.example,Prairie Branding Group #1643,Northeast,2-5 employees,$100k-$250k,20,11-20,10,Custom embroidery,Corporate/commercial,Stitch-count based,Quarterly,4,4,3,3,4,18,Strong Pricing System,True,False,False,False,,2,2,2,2,1,2,1,2,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,B2B,Intended Profit,Northeast
contact4@magnoliadigitizingllc1.example,Magnolia Digitizing Llc #1620,Midwest,Solo owner/operator,$250k-$500k,18,11-20,3,Decorated apparel,Small business/local orgs,Stitch-count based,Unknown,4,3,2,3,3,15,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,1,1,1,2,1,2,1,Solo owner/operator,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,Intended Profit,Midwest
sales@maplethreadsshop.example,Maple Threads Shop,South,2-5 employees,$100k-$250k,18,11-20,1,Promotional products,Small business/local orgs,Stitch-count based,Before every quote,4,4,3,2,4,17,Strong Pricing System,True,False,False,False,,2,2,2,2,2,1,1,1,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,Capacity Pressure,South
owner@pinethreadsshop1396.example,Pine Threads Shop #1396,West,Solo owner/operator,$100k-$250k,22,21+,1,Promotional products,Small business/local orgs,Hybrid/job costing,When costs change,3,4,3,2,3,15,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,1,2,2,2,1,1,1,2,1,Solo owner/operator,$100k-$500k,Legacy (21+),Hybrid/job costing,Mixed,Capacity Pressure,West
hello@rivercustomsllc1609.example,River Customs Llc #1609,South,Solo owner/operator,Under $50k,1,<2,1,Mixed services,Mixed,Stitch-count based,Unknown,2,2,0,0,1,5,Pricing Blind Spots,False,False,True,True,Most customers compare us by stitch count.,1,1,1,1,0,0,0,0,0,1,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Intended Profit,South
contact@blueridgewearablesllc.example,Blue Ridge Wearables Llc,Midwest,Solo owner/operator,$50k-$100k,1,<2,1,Team/school spiritwear,Schools/teams,Hybrid/job costing,Annually,3,2,3,3,1,12,Partial Pricing System,False,False,False,False,,2,1,1,1,1,2,2,1,0,1,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Hybrid/job costing,Mixed,End Customer Value,Midwest
owner6@oakdesigns1489.example,Oak Designs #1489,South,Solo owner/operator,Prefer not to say,14,11-20,1,Decorated apparel,Schools/teams,Hybrid/job costing,Rarely/never,3,2,3,2,3,13,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,1,2,1,1,2,1,2,0,2,1,Solo owner/operator,Unknown,Veteran (11-20),Hybrid/job costing,Mixed,Real Labor,South
hello@heritagestitchco.example,Heritage Stitch Co.,South,2-5 employees,$50k-$100k,8,6-10,2,Decorated apparel,Mixed,Cost-plus,Annually,4,4,3,3,4,18,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,2,2,2,1,2,1,2,2,2,2-5 employees,Under $100k,Established (4-10),Cost-plus,Mixed,Intended Profit,South
sales@cedarmonogramsllc.example,Cedar Monograms Llc,South,2-5 employees,$500k-$1M,6,6-10,2,Custom embroidery,Mixed,Cost-plus,When costs change,1,1,2,0,0,4,Pricing Blind Spots,False,True,False,True,Most customers compare us by stitch count.,1,0,0,1,1,1,0,0,0,0,2-5 employees,$500k+,Established (4-10),Cost-plus,Mixed,Capacity Pressure,South
owner@heritagecustomsgroup.example,Heritage Customs Group,Northeast,11-25 employees,$100k-$250k,27,21+,12,Custom embroidery,Mostly consumers,Stitch-count based,Quarterly,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,2,2,2,2,2,2,2,2,2,11-25 employees,$100k-$500k,Legacy (21+),Stitch-count based,Consumer,Production Cost,Northeast
hello@goldenapparelgroup1511.example,Golden Apparel Group #1511,South,2-5 employees,Under $50k,4,2-5,5,Mixed services,Contract/B2B,Unknown,Annually,3,1,1,1,2,8,Partial Pricing System,False,True,True,True,Rush jobs are where we get into trouble.,1,2,1,0,1,0,0,1,1,1,2-5 employees,Under $100k,Established (4-10),Unknown,B2B,Real Labor,South
sales@northstardecoratedgood.example,North Star Decorated Goods Group #1518,Midwest,26+ employees,$100k-$250k,15,11-20,12,Mixed services,Small business/local orgs,Value-based,Annually,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,2,2,2,2,2,2,26+ employees,$100k-$500k,Veteran (11-20),Value-based,Mixed,Production Cost,Midwest
sales@crownworksgroup1696.example,Crown Works Group #1696,Midwest,2-5 employees,$50k-$100k,0,<2,1,Custom embroidery,Small business/local orgs,Cost-plus,When costs change,2,0,1,1,0,4,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,1,1,0,0,1,0,0,1,0,0,2-5 employees,Under $100k,Newcomer (0-3 yrs),Cost-plus,Mixed,Real Labor,Midwest
owner5@luckystitchco1600.example,Lucky Stitch Co. #1600,West,2-5 employees,$100k-$250k,24,21+,8,Promotional products,Mostly consumers,Cost-plus,Annually,4,4,3,4,4,19,Strong Pricing System,True,False,False,False,,2,2,2,2,1,2,2,2,2,2,2-5 employees,$100k-$500k,Legacy (21+),Cost-plus,Consumer,Intended Profit,West
quotes@brightmonogramsgroup.example,Bright Monograms Group,West,6-10 employees,$100k-$250k,1,<2,10,Decorated apparel,Mixed,Stitch-count based,Annually,3,2,2,1,3,11,Partial Pricing System,False,False,False,True,Rush jobs are where we get into trouble.,2,1,1,1,1,1,0,1,1,2,6-10 employees,$100k-$500k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Capacity Pressure,West
owner@magnoliacreativeshop14.example,Magnolia Creative Shop #1488,South,6-10 employees,$100k-$250k,16,11-20,5,Team/school spiritwear,Corporate/commercial,Competitor-based,Annually,3,2,2,2,3,12,Partial Pricing System,False,False,False,False,,1,2,1,1,1,1,1,1,2,1,6-10 employees,$100k-$500k,Veteran (11-20),Competitor-based,B2B,Real Labor,South
office@brightstitchco.example,Bright Stitch Co.,Midwest,Solo owner/operator,$100k-$250k,15,11-20,1,Custom embroidery,Mixed,Cost-plus,When costs change,4,3,2,2,3,14,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,2,2,2,1,1,1,2,0,1,2,Solo owner/operator,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Intended Profit,Midwest
quotes1@hoopstitchcocollective.example,Hoop Stitch Co. Collective #1540,Northeast,2-5 employees,$100k-$250k,13,11-20,3,Mixed services,Mixed,Stitch-count based,When costs change,4,2,3,2,3,14,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,2,2,1,1,1,2,1,1,1,2,2-5 employees,$100k-$500k,Veteran (11-20),Stitch-count based,Mixed,Real Labor,Northeast
owner@brightprintstitchllc.example,Bright Print & Stitch Llc,Northeast,Solo owner/operator,$100k-$250k,15,11-20,5,Decorated apparel,Mixed,Competitor-based,When costs change,3,1,2,2,2,10,Partial Pricing System,False,True,False,False,We are trying to stop undercharging.,2,1,1,0,1,1,1,1,1,1,Solo owner/operator,$100k-$500k,Veteran (11-20),Competitor-based,Mixed,Real Labor,Northeast
quotes@riverstitchcollc.example,River Stitch Co. Llc,Midwest,6-10 employees,$250k-$500k,14,11-20,5,Mixed services,Corporate/commercial,Hybrid/job costing,When costs change,4,2,2,2,2,12,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,2,2,1,1,1,1,1,1,1,1,6-10 employees,$100k-$500k,Veteran (11-20),Hybrid/job costing,B2B,Real Labor,Midwest
info2@riverteamweargroup1688.example,River Teamwear Group #1688,South,2-5 employees,$250k-$500k,10,6-10,8,Decorated apparel,Small business/local orgs,Cost-plus,Quarterly,4,4,3,3,4,18,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,1,2,1,2,2,2,2-5 employees,$100k-$500k,Established (4-10),Cost-plus,Mixed,Intended Profit,South
hello@lakesidestudioshop.example,Lakeside Studio Shop,West,Solo owner/operator,Prefer not to say,5,2-5,2,Decorated apparel,Corporate/commercial,Informal/custom quote,Quarterly,2,2,0,0,1,5,Pricing Blind Spots,False,False,True,True,,1,1,1,1,0,0,0,0,1,0,Solo owner/operator,Unknown,Established (4-10),Informal/custom quote,B2B,Intended Profit,West
owner@summitdesignsstudio.example,Summit Designs Studio,West,2-5 employees,$100k-$250k,11,11-20,2,Custom embroidery,Schools/teams,Informal/custom quote,When costs change,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,1,0,0,0,0,0,0,0,0,0,2-5 employees,$100k-$500k,Veteran (11-20),Informal/custom quote,Mixed,Real Labor,West
owner@crownteamwearshop1558.example,Crown Teamwear Shop #1558,Northeast,2-5 employees,$100k-$250k,7,6-10,2,Custom embroidery,Small business/local orgs,Stitch-count based,Annually,3,2,2,2,2,11,Partial Pricing System,False,False,False,False,,2,1,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Real Labor,Northeast
quotes@sunrisedecoratedgoods.example,Sunrise Decorated Goods,South,Unknown,Unknown,8,6-10,1,Custom embroidery,Small business/local orgs,Informal/custom quote,When costs change,3,2,2,1,1,9,Partial Pricing System,False,False,False,True,I need a better way to account for setup time.,2,1,1,1,1,1,0,1,1,0,Unknown,Unknown,Established (4-10),Informal/custom quote,Mixed,Capacity Pressure,South
contact@bobbinbrandingllc.example,Bobbin Branding Llc,West,6-10 employees,$250k-$500k,33,21+,5,Custom embroidery,Small business/local orgs,Hybrid/job costing,Annually,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,2,2,2,2,2,2,2,2,2,6-10 employees,$100k-$500k,Legacy (21+),Hybrid/job costing,Mixed,Production Cost,West
owner@lakesidecreativestudio.example,Lakeside Creative Studio,Northeast,6-10 employees,$500k-$1M,10,6-10,3,Unknown,Schools/teams,Value-based,When costs change,2,2,1,2,2,9,Partial Pricing System,False,False,True,False,,1,1,1,1,0,1,1,1,1,1,6-10 employees,$500k+,Established (4-10),Value-based,Mixed,Intended Profit,Northeast
info@needledesignsshop.example,Needle Designs Shop,Midwest,Solo owner/operator,$100k-$250k,7,6-10,3,Promotional products,Schools/teams,Stitch-count based,When costs change,2,1,1,0,1,5,Pricing Blind Spots,False,True,True,True,,1,1,0,1,0,1,0,0,1,0,Solo owner/operator,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Capacity Pressure,Midwest
info6@lakesidemonogramsstudi.example,Lakeside Monograms Studio #1503,South,Solo owner/operator,$50k-$100k,0,<2,3,Custom embroidery,Corporate/commercial,Competitor-based,Rarely/never,2,2,2,0,2,8,Partial Pricing System,False,False,False,True,Rush jobs are where we get into trouble.,1,1,1,1,1,1,0,0,1,1,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Competitor-based,B2B,Capacity Pressure,South
contact@crownstitchcocompany.example,Crown Stitch Co. Company,South,6-10 employees,$500k-$1M,18,11-20,6,Promotional products,Small business/local orgs,Unknown,Quarterly,3,4,2,2,2,13,Partial Pricing System,False,False,False,False,Pricing is the hardest part of the business.,1,2,2,2,1,1,1,1,1,1,6-10 employees,$500k+,Veteran (11-20),Unknown,Mixed,Intended Profit,South
sales@oakteamwearcompany1467.example,Oak Teamwear Company #1467,South,2-5 employees,$100k-$250k,15,11-20,3,Custom embroidery,Corporate/commercial,Cost-plus,Before every quote,3,4,2,2,4,15,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,1,2,2,2,1,1,1,1,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,B2B,Intended Profit,South
quotes@oakstitchcogroup.example,Oak Stitch Co. Group,Midwest,Solo owner/operator,$100k-$250k,7,6-10,1,Team/school spiritwear,Mixed,Informal/custom quote,Rarely/never,1,1,0,0,0,2,Pricing Blind Spots,False,True,True,True,Pricing is the hardest part of the business.,0,1,0,1,0,0,0,0,0,0,Solo owner/operator,$100k-$500k,Established (4-10),Informal/custom quote,Mixed,Intended Profit,Midwest
quotes6@luckydigitizingstudio.example,Lucky Digitizing Studio,South,6-10 employees,Unknown,18,11-20,2,Decorated apparel,Mostly consumers,Stitch-count based,Annually,4,2,4,2,3,15,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,1,1,2,2,1,1,2,1,6-10 employees,Unknown,Veteran (11-20),Stitch-count based,Consumer,Real Labor,South
office@urbanstitchco1568.example,Urban Stitch Co. #1568,Northeast,2-5 employees,Unknown,30,21+,3,Decorated apparel,Mixed,Informal/custom quote,When costs change,4,2,3,3,2,14,Partial Pricing System,False,False,False,False,,2,2,1,1,1,2,2,1,1,1,2-5 employees,Unknown,Legacy (21+),Informal/custom quote,Mixed,Real Labor,Northeast
sales@prairiewearablesllc172.example,Prairie Wearables Llc #1720,Midwest,Solo owner/operator,Unknown,17,11-20,3,Custom embroidery,Mostly consumers,Stitch-count based,Annually,4,4,3,2,2,15,Strong Pricing System,True,False,False,False,,2,2,2,2,1,2,1,1,1,1,Solo owner/operator,Unknown,Veteran (11-20),Stitch-count based,Consumer,Capacity Pressure,Midwest
info@brightbranding.example,Bright Branding,West,2-5 employees,$250k-$500k,15,11-20,5,Decorated apparel,Mixed,Cost-plus,Rarely/never,3,2,2,2,1,10,Partial Pricing System,False,False,False,False,,2,1,1,1,1,1,1,1,0,1,2-5 employees,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,End Customer Value,West
info@crownbrandinggroup.example,Crown Branding Group,West,Solo owner/operator,$50k-$100k,24,21+,3,Mixed services,Corporate/commercial,Informal/custom quote,Annually,4,4,3,3,4,18,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,2,2,1,2,2,1,2,2,Solo owner/operator,Under $100k,Legacy (21+),Informal/custom quote,B2B,Intended Profit,West
quotes@urbandecoratedgoodscom.example,Urban Decorated Goods Company,Midwest,2-5 employees,$250k-$500k,1,<2,2,Mixed services,Mostly consumers,Informal/custom quote,Before every quote,2,2,2,1,1,8,Partial Pricing System,False,False,False,True,I need a better way to account for setup time.,1,1,1,1,1,1,0,1,1,0,2-5 employees,$100k-$500k,Newcomer (0-3 yrs),Informal/custom quote,Consumer,Capacity Pressure,Midwest
hello@rivercustomsllc1680.example,River Customs Llc #1680,Midwest,Solo owner/operator,Under $50k,8,6-10,3,Team/school spiritwear,Mixed,Competitor-based,Unknown,1,1,0,0,0,2,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,0,1,1,0,0,0,0,0,0,0,Solo owner/operator,Under $100k,Established (4-10),Competitor-based,Mixed,Intended Profit,Midwest
contact3@urbancreativellc1605.example,Urban Creative Llc #1605,South,2-5 employees,$500k-$1M,18,11-20,8,Decorated apparel,Mostly consumers,Hybrid/job costing,Annually,4,4,4,3,4,19,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,2,2,2,1,2,2,2-5 employees,$500k+,Veteran (11-20),Hybrid/job costing,Consumer,Capacity Pressure,South
sales@lakesidestitchcocompan.example,Lakeside Stitch Co. Company,Midwest,2-5 employees,$100k-$250k,16,11-20,4,Contract embroidery,Corporate/commercial,Unknown,Before every quote,2,2,2,1,1,8,Partial Pricing System,False,False,False,True,Rush jobs are where we get into trouble.,1,1,1,1,1,1,1,0,1,0,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,B2B,Capacity Pressure,Midwest
quotes@prairieapparel1546.example,Prairie Apparel #1546,Midwest,2-5 employees,$100k-$250k,11,11-20,4,Mixed services,Corporate/commercial,Hybrid/job costing,Annually,4,3,2,4,4,17,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,2,1,2,1,1,2,2,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Hybrid/job costing,B2B,Intended Profit,Midwest
info4@lakesidedesigns.example,Lakeside Designs,Midwest,2-5 employees,$500k-$1M,13,11-20,1,Contract embroidery,Contract/B2B,Unknown,Unknown,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True,Most customers compare us by stitch count.,1,0,0,0,0,0,0,0,0,0,2-5 employees,$500k+,Veteran (11-20),Unknown,B2B,Real Labor,Midwest
