audit_id,dataset,raw_response_id,issue_type,cleaning_action,rationale
AUD-D-699,Pricing Diagnostic,R_PD_000700,duplicate_complete,Excluded,Filtered during cleaning
AUD-D-700,Pricing Diagnostic,R_PD_000701,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-701,Pricing Diagnostic,R_PD_000702,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-702,Pricing Diagnostic,R_PD_000703,duplicate_complete,Excluded,Filtered during cleaning
AUD-D-703,Pricing Diagnostic,R_PD_000704,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-704,Pricing Diagnostic,R_PD_000705,duplicate_partial,Excluded,Filtered during cleaning
AUD-D-707,Pricing Diagnostic,R_PD_000708,duplicate_complete,Excluded,Filtered during cleaning
AUD-D-708,Pricing Diagnostic,R_PD_000709,partial,Excluded,Filtered during cleaning
AUD-D-709,Pricing Diagnostic,R_PD_000710,partial,Excluded,Filtered during cleaning
AUD-D-710,Pricing Diagnostic,R_PD_000711,partial,Excluded,Filtered during cleaning
AUD-D-711,Pricing Diagnostic,R_PD_000712,partial,Excluded,Filtered during cleaning
AUD-D-712,Pricing Diagnostic,R_PD_000713,partial,Excluded,Filtered during cleaning
AUD-D-713,Pricing Diagnostic,R_PD_000714,partial,Excluded,Filtered during cleaning
AUD-D-714,Pricing Diagnostic,R_PD_000715,partial,Excluded,Filtered during cleaning
AUD-D-715,Pricing Diagnostic,R_PD_000716,partial,Excluded,Filtered during cleaning
AUD-D-716,Pricing Diagnostic,R_PD_000717,partial,Excluded,Filtered during cleaning
AUD-D-717,Pricing Diagnostic,R_PD_000718,partial,Excluded,Filtered during cleaning
AUD-D-718,Pricing Diagnostic,R_PD_000719,partial,Excluded,Filtered during cleaning
AUD-D-719,Pricing Diagnostic,R_PD_000720,partial,Excluded,Filtered during cleaning
AUD-D-720,Pricing Diagnostic,R_PD_000721,partial,Excluded,Filtered during cleaning
AUD-D-721,Pricing Diagnostic,R_PD_000722,partial,Excluded,Filtered during cleaning
AUD-D-722,Pricing Diagnostic,R_PD_000723,partial,Excluded,Filtered during cleaning
AUD-D-723,Pricing Diagnostic,R_PD_000724,partial,Excluded,Filtered during cleaning
AUD-D-724,Pricing Diagnostic,R_PD_000725,partial,Excluded,Filtered during cleaning
AUD-D-725,Pricing Diagnostic,R_PD_000726,partial,Excluded,Filtered during cleaning
AUD-D-726,Pricing Diagnostic,R_PD_000727,partial,Excluded,Filtered during cleaning
AUD-D-727,Pricing Diagnostic,R_PD_000728,partial,Excluded,Filtered during cleaning
AUD-D-728,Pricing Diagnostic,R_PD_000729,partial,Excluded,Filtered during cleaning
AUD-D-729,Pricing Diagnostic,R_PD_000730,partial,Excluded,Filtered during cleaning
AUD-D-730,Pricing Diagnostic,R_PD_000731,test,Excluded,Filtered during cleaning
AUD-D-731,Pricing Diagnostic,R_PD_000732,test,Excluded,Filtered during cleaning
AUD-D-732,Pricing Diagnostic,R_PD_000733,test,Excluded,Filtered during cleaning
AUD-D-733,Pricing Diagnostic,R_PD_000734,test,Excluded,Filtered during cleaning
AUD-B-10,Benchmark Survey,R_BM_000011,clean,Excluded,Filtered during cleaning
AUD-B-70,Benchmark Survey,R_BM_000071,clean,Excluded,Filtered during cleaning
AUD-B-85,Benchmark Survey,R_BM_000086,clean,Excluded,Filtered during cleaning
AUD-B-88,Benchmark Survey,R_BM_000089,clean,Excluded,Filtered during cleaning
AUD-B-116,Benchmark Survey,R_BM_000117,clean,Excluded,Filtered during cleaning
AUD-B-130,Benchmark Survey,R_BM_000131,clean,Excluded,Filtered during cleaning
AUD-B-136,Benchmark Survey,R_BM_000137,clean,Excluded,Filtered during cleaning
AUD-B-200,Benchmark Survey,R_BM_000201,duplicate_complete,Excluded,Filtered during cleaning
AUD-B-202,Benchmark Survey,R_BM_000203,duplicate_partial,Excluded,Filtered during cleaning
AUD-B-203,Benchmark Survey,R_BM_000204,duplicate_partial,Excluded,Filtered during cleaning
AUD-B-205,Benchmark Survey,R_BM_000206,duplicate_partial,Excluded,Filtered during cleaning
AUD-B-207,Benchmark Survey,R_BM_000208,duplicate_partial,Excluded,Filtered during cleaning
AUD-B-208,Benchmark Survey,R_BM_000209,duplicate_complete,Excluded,Filtered during cleaning
AUD-B-210,Benchmark Survey,R_BM_000211,duplicate_partial,Excluded,Filtered during cleaning
AUD-B-211,Benchmark Survey,R_BM_000212,duplicate_complete,Excluded,Filtered during cleaning
AUD-B-212,Benchmark Survey,R_BM_000213,duplicate_partial,Excluded,Filtered during cleaning
AUD-B-213,Benchmark Survey,R_BM_000214,partial,Excluded,Filtered during cleaning
AUD-B-214,Benchmark Survey,R_BM_000215,partial,Excluded,Filtered during cleaning
AUD-B-215,Benchmark Survey,R_BM_000216,partial,Excluded,Filtered during cleaning
AUD-B-216,Benchmark Survey,R_BM_000217,partial,Excluded,Filtered during cleaning
AUD-B-217,Benchmark Survey,R_BM_000218,partial,Excluded,Filtered during cleaning
AUD-B-218,Benchmark Survey,R_BM_000219,partial,Excluded,Filtered during cleaning
AUD-B-219,Benchmark Survey,R_BM_000220,partial,Excluded,Filtered during cleaning
AUD-B-220,Benchmark Survey,R_BM_000221,partial,Excluded,Filtered during cleaning
AUD-B-221,Benchmark Survey,R_BM_000222,test,Excluded,Filtered during cleaning
AUD-B-222,Benchmark Survey,R_BM_000223,test,Excluded,Filtered during cleaning
