canonical_email,business_name_clean_diag,region_diag,business_size_diag,annual_revenue_band_diag,years_in_operation_diag,years_in_operation_band,machine_count_diag,primary_business_model_diag,customer_mix,current_pricing_method,price_review_frequency_diag,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag,Open Comment,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,business_size_segment,revenue_segment,experience_segment,pricing_method_segment,customer_focus_segment,weakest_driver_segment,region_segment,business_name_clean_bench,region_bench,business_size_bench,annual_revenue_band_bench,years_in_operation_bench,machine_count_bench,primary_business_model_bench,primary_pricing_method,hourly_rate_estimate_usd,stitch_rate_per_1000,minimum_order_quantity,minimum_job_charge_usd,charges_setup_fee,setup_fee_policy,charges_rush_fee,rush_fee_policy,discounting_frequency,price_review_frequency_bench,confidence_score_1_5,pricing_confidence_level,perceived_profitability,plans_price_increase_2026,Benchmark open comment
sales@crownworksgroup1696.example,Crown Works Group #1696,Midwest,2-5 employees,$50k-$100k,0,<2,1,Custom embroidery,Small business/local orgs,Cost-plus,When costs change,2,0,1,1,0,4,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,1,1,0,0,1,0,0,1,0,0,2-5 employees,Under $100k,Newcomer (0-3 yrs),Cost-plus,Mixed,Real Labor,Midwest,Crown Works Group #1696,Midwest,2-5 employees,$50k-$100k,0.0,1.0,Custom embroidery,Stitch-count based,101.0,0.55,,,True,Always/standard,False,No,Never,When costs change,2.0,Slightly confident,Good,True,
office@brightstitchco.example,Bright Stitch Co.,Midwest,Solo owner/operator,$100k-$250k,15,11-20,1,Custom embroidery,Mixed,Cost-plus,When costs change,4,3,2,2,3,14,Partial Pricing System,False,False,False,False,Most customers compare us by stitch count.,2,2,2,1,1,1,2,0,1,2,Solo owner/operator,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Intended Profit,Midwest,Bright Stitch Co.,Midwest,Unknown,$100k-$250k,15.0,1.0,Custom embroidery,Cost-plus,89.0,1.52,,,False,No,True,Published percentage/flat fee,Sometimes,When costs change,5.0,Very confident,Unknown,True,Customers are more price-sensitive this year.
quotes@riverstitchcollc.example,River Stitch Co. Llc,Midwest,6-10 employees,$250k-$500k,14,11-20,5,Mixed services,Corporate/commercial,Hybrid/job costing,When costs change,4,2,2,2,2,12,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,2,2,1,1,1,1,1,1,1,1,6-10 employees,$100k-$500k,Veteran (11-20),Hybrid/job costing,B2B,Real Labor,Midwest,River Stitch Co. Llc,Midwest,6-10 employees,$250k-$500k,14.0,5.0,Mixed services,Stitch-count based,95.0,1.46,,150.0,True,Always/standard,True,Published percentage/flat fee,Sometimes,When costs change,2.0,Slightly confident,Variable,False,
info2@riverteamweargroup1688.example,River Teamwear Group #1688,South,2-5 employees,$250k-$500k,10,6-10,8,Decorated apparel,Small business/local orgs,Cost-plus,Quarterly,4,4,3,3,4,18,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,1,2,1,2,2,2,2-5 employees,$100k-$500k,Established (4-10),Cost-plus,Mixed,Intended Profit,South,River Teamwear Group #1688,South,2-5 employees,$250k-$500k,10.0,8.0,Decorated apparel,Cost-plus,100.0,2.2,1.0,,True,Always/standard,False,No,Sometimes,Quarterly,5.0,Very confident,Acceptable,False,I worry about losing repeat customers.
owner@summitdesignsstudio.example,Summit Designs Studio,West,2-5 employees,$100k-$250k,11,11-20,2,Custom embroidery,Schools/teams,Informal/custom quote,When costs change,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True,I need a better way to account for setup time.,1,0,0,0,0,0,0,0,0,0,2-5 employees,$100k-$500k,Veteran (11-20),Informal/custom quote,Mixed,Real Labor,West,Summit Designs Studio,West,2-5 employees,$100k-$250k,11.0,2.0,Custom embroidery,Informal/custom quote,94.0,0.77,,150.0,True,Always/standard,False,No,Sometimes,When costs change,4.0,Confident,Very strong,False,Customers are more price-sensitive this year.
contact@bobbinbrandingllc.example,Bobbin Branding Llc,West,6-10 employees,$250k-$500k,33,21+,5,Custom embroidery,Small business/local orgs,Hybrid/job costing,Annually,4,4,4,4,4,20,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,2,2,2,2,2,2,2,2,2,6-10 employees,$100k-$500k,Legacy (21+),Hybrid/job costing,Mixed,Production Cost,West,Bobbin Branding Llc,West,6-10 employees,$250k-$500k,20.0,5.0,Custom embroidery,Cost-plus,139.0,1.79,,,True,Always/standard,False,Case-by-case,Rarely,Annually,3.0,Somewhat confident,Good,True,
info@needledesignsshop.example,Needle Designs Shop,Midwest,Solo owner/operator,$100k-$250k,7,6-10,3,Promotional products,Schools/teams,Stitch-count based,When costs change,2,1,1,0,1,5,Pricing Blind Spots,False,True,True,True,,1,1,0,1,0,1,0,0,1,0,Solo owner/operator,$100k-$500k,Established (4-10),Stitch-count based,Mixed,Capacity Pressure,Midwest,Needle Designs Shop,Midwest,Solo owner/operator,$100k-$250k,7.0,3.0,Promotional products,Stitch-count based,75.0,1.4,12.0,,False,No,False,Case-by-case,Rarely,When costs change,1.0,Not confident,Acceptable,False,Customers are more price-sensitive this year.
quotes@prairieapparel1546.example,Prairie Apparel #1546,Midwest,2-5 employees,$100k-$250k,11,11-20,4,Mixed services,Corporate/commercial,Hybrid/job costing,Annually,4,3,2,4,4,17,Strong Pricing System,True,False,False,False,I need a better way to account for setup time.,2,2,1,2,1,1,2,2,2,2,2-5 employees,$100k-$500k,Veteran (11-20),Hybrid/job costing,B2B,Intended Profit,Midwest,Prairie Apparel #1546,Midwest,2-5 employees,$100k-$250k,11.0,4.0,Mixed services,Stitch-count based,99.0,1.1,,75.0,True,Always/standard,True,Published percentage/flat fee,Rarely,Annually,4.0,Confident,Very strong,False,
hello@lakesidelogoshopcollec.example,Lakeside Logo Shop Collective,Midwest,2-5 employees,Unknown,14,11-20,10,Decorated apparel,Unknown,Cost-plus,When costs change,4,3,4,2,2,15,Strong Pricing System,True,False,False,False,,2,2,1,2,2,2,1,1,1,1,2-5 employees,Unknown,Veteran (11-20),Cost-plus,Mixed,Capacity Pressure,Midwest,Lakeside Logo Shop Collective,Midwest,2-5 employees,$500k-$1M,14.0,10.0,Decorated apparel,Cost-plus,95.0,1.62,,150.0,False,No,True,Published percentage/flat fee,Sometimes,Before every quote,4.0,Confident,Acceptable,False,Customers are more price-sensitive this year.
info@willowlogoshopllc1465.example,Willow Logo Shop Llc #1465,Midwest,2-5 employees,$250k-$500k,14,11-20,1,Decorated apparel,Schools/teams,Unknown,Annually,2,2,2,2,2,10,Partial Pricing System,False,False,False,False,Rush jobs are where we get into trouble.,1,1,1,1,1,1,1,1,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,Mixed,Production Cost,Midwest,Willow Logo Shop Llc #1465,Midwest,2-5 employees,$250k-$500k,14.0,1.0,Decorated apparel,Unknown,106.0,1.36,,,True,Sometimes/depends,False,No,Rarely,Annually,4.0,Confident,Good,True,
info@redbarnapparelstudio14.example,Red Barn Apparel Studio #1417,Midwest,2-5 employees,$250k-$500k,20,11-20,3,Contract embroidery,Mostly consumers,Hybrid/job costing,When costs change,4,3,2,3,3,15,Strong Pricing System,True,False,False,False,We are trying to stop undercharging.,2,2,1,2,1,1,1,2,1,2,2-5 employees,$100k-$500k,Veteran (11-20),Hybrid/job costing,Consumer,Intended Profit,Midwest,Red Barn Apparel Studio #1417,Midwest,2-5 employees,Unknown,21.0,3.0,Contract embroidery,Stitch-count based,114.0,1.51,6.0,,True,Always/standard,False,No,Rarely,When costs change,3.0,Somewhat confident,Variable,False,
quotes@urbanlogoshopstudio.example,Urban Logo Shop Studio,Midwest,6-10 employees,$100k-$250k,2,2-5,6,Custom embroidery,Schools/teams,Competitor-based,Rarely/never,2,1,0,0,0,3,Pricing Blind Spots,False,True,True,True,Rush jobs are where we get into trouble.,1,1,0,1,0,0,0,0,0,0,6-10 employees,$100k-$500k,Newcomer (0-3 yrs),Competitor-based,Mixed,Intended Profit,Midwest,Urban Logo Shop Studio,Midwest,6-10 employees,$100k-$250k,2.0,6.0,Custom embroidery,Competitor-based,79.0,1.37,,75.0,False,No,True,Published percentage/flat fee,Rarely,Rarely/never,5.0,Very confident,Struggling,True,
sales@willowworkscompany.example,Willow Works Company,West,2-5 employees,$100k-$250k,6,6-10,4,Contract embroidery,Mostly consumers,Stitch-count based,Unknown,2,1,0,1,1,5,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,1,1,1,0,0,0,1,0,0,1,2-5 employees,$100k-$500k,Established (4-10),Stitch-count based,Consumer,Intended Profit,West,Willow Works Company,West,2-5 employees,$100k-$250k,6.0,4.0,Contract embroidery,Stitch-count based,52.0,0.85,,25.0,True,Always/standard,True,Published percentage/flat fee,Frequently,Rarely/never,2.0,Slightly confident,Acceptable,True,
info@redbarnwearablescompan.example,Red Barn Wearables Company,West,Solo owner/operator,Under $50k,9,6-10,2,Mixed services,Small business/local orgs,Informal/custom quote,Annually,2,2,1,1,1,7,Pricing Blind Spots,False,False,True,True,,1,1,1,1,1,0,1,0,1,0,Solo owner/operator,Under $100k,Established (4-10),Informal/custom quote,Mixed,Intended Profit,West,Red Barn Wearables Company,West,Solo owner/operator,Under $50k,9.0,2.0,Mixed services,Informal/custom quote,57.0,1.12,,100.0,True,Sometimes/depends,False,Case-by-case,Sometimes,Annually,3.0,Somewhat confident,Struggling,False,
sales@luckyprintstitchllc170.example,Lucky Print & Stitch Llc #1704,West,Solo owner/operator,$100k-$250k,5,2-5,3,Mixed services,Contract/B2B,Stitch-count based,When costs change,3,4,3,2,2,14,Partial Pricing System,False,False,False,False,I need a better way to account for setup time.,2,1,2,2,1,2,1,1,1,1,Solo owner/operator,$100k-$500k,Established (4-10),Stitch-count based,B2B,Capacity Pressure,West,Lucky Print & Stitch Llc #1704,West,Unknown,$100k-$250k,5.0,3.0,Mixed services,Stitch-count based,72.0,1.5,,100.0,True,Always/standard,True,Published percentage/flat fee,Sometimes,When costs change,4.0,Confident,Good,False,
quotes2@luckycustomsllc.example,Lucky Customs Llc,South,2-5 employees,Under $50k,5,2-5,6,Decorated apparel,Mixed,Value-based,When costs change,2,3,1,1,3,10,Partial Pricing System,False,False,True,True,Pricing is the hardest part of the business.,1,1,1,2,0,1,0,1,2,1,2-5 employees,Under $100k,Established (4-10),Value-based,Mixed,Intended Profit,South,Lucky Customs Llc,South,2-5 employees,Under $50k,5.0,6.0,Decorated apparel,Value-based,71.0,,,50.0,True,Sometimes/depends,False,No,Rarely,When costs change,4.0,Confident,Variable,False,Customers are more price-sensitive this year.
quotes@willowembroiderycompan.example,Willow Embroidery Company #1544,South,11-25 employees,$100k-$250k,20,11-20,8,Promotional products,Schools/teams,Cost-plus,Quarterly,4,3,4,3,4,18,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,1,2,2,2,1,2,2,2,11-25 employees,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Real Labor,South,Willow Embroidery Company #1544,South,2-5 employees,$100k-$250k,20.0,8.0,Promotional products,Cost-plus,135.0,1.44,,,True,Always/standard,True,Published percentage/flat fee,Frequently,Quarterly,5.0,Very confident,Acceptable,True,
contact@summitapparel.example,Summit Apparel,South,2-5 employees,$250k-$500k,15,11-20,6,Custom embroidery,Mixed,Unknown,Unknown,3,2,2,0,2,9,Partial Pricing System,False,False,False,True,I need a better way to account for setup time.,1,2,1,1,1,1,0,0,1,1,2-5 employees,$100k-$500k,Veteran (11-20),Unknown,Mixed,Capacity Pressure,South,Summit Apparel,South,2-5 employees,$250k-$500k,15.0,6.0,Custom embroidery,Unknown,85.0,1.52,,150.0,False,No,True,Published percentage/flat fee,Sometimes,Rarely/never,3.0,Somewhat confident,Very strong,False,Customers are more price-sensitive this year.
contact@brightdesignsgroup1703.example,Bright Designs Group #1703,South,6-10 employees,$100k-$250k,2,2-5,10,Promotional products,Mixed,Stitch-count based,Annually,4,4,2,2,3,15,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,2,1,1,1,1,1,2,6-10 employees,$100k-$500k,Newcomer (0-3 yrs),Stitch-count based,Mixed,Intended Profit,South,Bright Designs Group #1703,South,6-10 employees,$100k-$250k,2.0,12.0,Promotional products,Stitch-count based,119.0,1.73,,,True,Always/standard,True,Published percentage/flat fee,Never,Annually,3.0,Somewhat confident,Struggling,False,Minimums changed everything for us.
info@summitdigitizing1559.example,Summit Digitizing #1559,Midwest,2-5 employees,$500k-$1M,20,11-20,3,Custom embroidery,Mixed,Informal/custom quote,Rarely/never,1,2,0,1,1,5,Pricing Blind Spots,False,False,True,True,We are trying to stop undercharging.,1,0,1,1,0,0,1,0,1,0,2-5 employees,$500k+,Veteran (11-20),Informal/custom quote,Mixed,Intended Profit,Midwest,Summit Digitizing #1559,Midwest,2-5 employees,$500k-$1M,32.0,3.0,Custom embroidery,Informal/custom quote,101.0,0.9,24.0,,True,Always/standard,False,No,Sometimes,Rarely/never,2.0,Slightly confident,Unknown,False,Customers are more price-sensitive this year.
contact@stitchapparelstudio144.example,Stitch Apparel Studio #1443,Northeast,2-5 employees,$50k-$100k,1,<2,3,Decorated apparel,Corporate/commercial,Value-based,Annually,4,3,2,2,3,14,Partial Pricing System,False,False,False,False,,2,2,2,1,1,1,1,1,2,1,2-5 employees,Under $100k,Newcomer (0-3 yrs),Value-based,B2B,Intended Profit,Northeast,Stitch Apparel Studio #1443,Northeast,2-5 employees,$50k-$100k,1.0,3.0,Decorated apparel,Value-based,119.0,1.27,,75.0,True,Always/standard,True,Published percentage/flat fee,Sometimes,Annually,3.0,Somewhat confident,Unknown,True,Minimums changed everything for us.
quotes@northstarteamwearshop.example,North Star Teamwear Shop,South,Solo owner/operator,$100k-$250k,25,21+,1,Promotional products,Unknown,Informal/custom quote,Quarterly,3,2,2,1,1,9,Partial Pricing System,False,False,False,True,I need a better way to account for setup time.,1,2,1,1,1,1,1,0,0,1,Solo owner/operator,$100k-$500k,Legacy (21+),Informal/custom quote,Mixed,Capacity Pressure,South,North Star Teamwear Shop,South,Solo owner/operator,$100k-$250k,20.0,1.0,Promotional products,Informal/custom quote,100.0,1.19,24.0,,False,No,True,Published percentage/flat fee,Sometimes,Quarterly,3.0,Somewhat confident,Acceptable,True,I worry about losing repeat customers.
info@summitlogoshopstudio.example,Summit Logo Shop Studio,Midwest,Solo owner/operator,Under $50k,3,2-5,1,Promotional products,Mixed,Informal/custom quote,When costs change,1,0,0,0,0,1,Pricing Blind Spots,False,True,True,True,We are trying to stop undercharging.,0,1,0,0,0,0,0,0,0,0,Solo owner/operator,Under $100k,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Real Labor,Midwest,Summit Logo Shop Studio,Midwest,Solo owner/operator,Under $50k,3.0,1.0,Promotional products,Informal/custom quote,57.0,1.04,12.0,,False,No,False,Case-by-case,Frequently,When costs change,1.0,Not confident,Struggling,False,We need a better price sheet.
quotes@willowworksshop1630.example,Willow Works Shop #1630,South,2-5 employees,$100k-$250k,27,21+,1,Team/school spiritwear,Small business/local orgs,Value-based,Annually,4,3,4,2,2,15,Strong Pricing System,True,False,False,False,Pricing is the hardest part of the business.,2,2,2,1,2,2,1,1,1,1,2-5 employees,$100k-$500k,Legacy (21+),Value-based,Mixed,Capacity Pressure,South,Willow Works Shop #1630,South,2-5 employees,$100k-$250k,20.0,1.0,Team/school spiritwear,Informal/custom quote,105.0,,24.0,,False,No,False,No,Sometimes,Annually,3.0,Somewhat confident,Good,False,We need a better price sheet.
owner@mapledecoratedgoodsstu.example,Maple Decorated Goods Studio,Northeast,6-10 employees,$500k-$1M,5,2-5,6,Custom embroidery,Mostly consumers,Cost-plus,Annually,4,4,2,4,3,17,Strong Pricing System,True,False,False,False,Rush jobs are where we get into trouble.,2,2,2,2,1,1,2,2,1,2,6-10 employees,$500k+,Established (4-10),Cost-plus,Consumer,Intended Profit,Northeast,Maple Decorated Goods Studio,Northeast,6-10 employees,$500k-$1M,5.0,6.0,Custom embroidery,Cost-plus,105.0,1.45,,,True,Always/standard,True,Published percentage/flat fee,Rarely,Annually,4.0,Confident,Very strong,True,Customers are more price-sensitive this year.
contact@prairiedesignsstudio.example,Prairie Designs Studio,South,6-10 employees,$250k-$500k,1,<2,2,Custom embroidery,Mixed,Cost-plus,Quarterly,3,1,2,2,4,12,Partial Pricing System,False,True,False,False,Pricing is the hardest part of the business.,1,2,1,0,1,1,1,1,2,2,6-10 employees,$100k-$500k,Newcomer (0-3 yrs),Cost-plus,Mixed,Real Labor,South,Prairie Designs Studio,South,6-10 employees,$250k-$500k,1.0,2.0,Custom embroidery,Cost-plus,98.0,1.33,,75.0,False,No,False,No,Rarely,Quarterly,2.0,Slightly confident,Variable,False,We need a better price sheet.
hello0@heritagebrandingshop.example,Heritage Branding Shop,Northeast,2-5 employees,Unknown,2,2-5,10,Contract embroidery,Small business/local orgs,Informal/custom quote,Annually,3,1,2,1,2,9,Partial Pricing System,False,True,False,True,We are trying to stop undercharging.,2,1,0,1,1,1,1,0,1,1,2-5 employees,Unknown,Newcomer (0-3 yrs),Informal/custom quote,Mixed,Real Labor,Northeast,Heritage Branding Shop,Northeast,2-5 employees,Prefer not to say,2.0,10.0,Contract embroidery,Informal/custom quote,46.0,1.42,36.0,,True,Sometimes/depends,False,Case-by-case,Frequently,Annually,3.0,Somewhat confident,Variable,False,I worry about losing repeat customers.
quotes@lakesideworks1670.example,Lakeside Works #1670,Midwest,6-10 employees,$250k-$500k,14,11-20,6,Decorated apparel,Mixed,Cost-plus,Annually,2,2,2,2,4,12,Partial Pricing System,False,False,False,False,We are trying to stop undercharging.,1,1,1,1,1,1,1,1,2,2,6-10 employees,$100k-$500k,Veteran (11-20),Cost-plus,Mixed,Production Cost,Midwest,Lakeside Works #1670,Midwest,6-10 employees,$250k-$500k,14.0,6.0,Decorated apparel,Cost-plus,133.0,1.59,,100.0,True,Always/standard,False,Case-by-case,Never,Annually,3.0,Somewhat confident,Variable,False,I worry about losing repeat customers.
quotes@oakbrandingcollective1.example,Oak Branding Collective #1692,South,Unknown,Under $50k,0,<2,1,Mixed services,Mostly consumers,Stitch-count based,When costs change,2,2,1,2,2,9,Partial Pricing System,False,False,True,False,Most customers compare us by stitch count.,1,1,1,1,1,0,1,1,1,1,Unknown,Under $100k,Newcomer (0-3 yrs),Stitch-count based,Consumer,Intended Profit,South,Oak Branding Collective #1692,South,Solo owner/operator,Under $50k,0.0,1.0,Mixed services,Stitch-count based,64.0,1.04,,25.0,False,No,False,Case-by-case,Sometimes,When costs change,2.0,Slightly confident,Unknown,False,Minimums changed everything for us.
sales@crownwearablescompany.example,Crown Wearables Company,Midwest,Solo owner/operator,$100k-$250k,24,21+,1,Decorated apparel,Schools/teams,Value-based,Unknown,4,4,3,4,3,18,Strong Pricing System,True,False,False,False,Most customers compare us by stitch count.,2,2,2,2,1,2,2,2,2,1,Solo owner/operator,$100k-$500k,Legacy (21+),Value-based,Mixed,Intended Profit,Midwest,Crown Wearables Company,Midwest,Solo owner/operator,$100k-$250k,20.0,1.0,Decorated apparel,Value-based,94.0,1.88,6.0,,True,Always/standard,True,Published percentage/flat fee,Sometimes,Unknown,3.0,Somewhat confident,Variable,False,
contact0@northstarprintstitchco.example,North Star Print & Stitch Collective #1637,West,6-10 employees,$100k-$250k,11,11-20,4,Custom embroidery,Corporate/commercial,Hybrid/job costing,When costs change,3,4,3,2,2,14,Partial Pricing System,False,False,False,False,,1,2,2,2,2,1,1,1,1,1,6-10 employees,$100k-$500k,Veteran (11-20),Hybrid/job costing,B2B,Capacity Pressure,West,North Star Print & Stitch Collective #1637,West,6-10 employees,$100k-$250k,11.0,4.0,Custom embroidery,Stitch-count based,113.0,2.14,,100.0,True,Always/standard,False,No,Frequently,When costs change,5.0,Very confident,Acceptable,False,We need a better price sheet.
