respondent_id,business_name_clean,canonical_email,email_hash,region,business_size,employee_count,annual_revenue_band,years_in_operation,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,pricing_maturity_latent,in_pricing_diagnostic_clean,in_benchmark_clean,true_overlap_flag
NNEP-R0021,Pine Customs Company,owner@pinecustomscompany.example,emh_70e53d38e5,South,6-10 employees,9,$500k-$1M,18,4,Custom embroidery,Mostly consumers,Stitch-count based,Before every quote,0.5134,True,False,False
NNEP-R0022,Golden Works Shop,sales@goldenworksshop.example,emh_1c4953a166,West,2-5 employees,5,$50k-$100k,8,3,Mixed services,Mixed,Informal/custom quote,Quarterly,0.4484,True,False,False
NNEP-R0023,Red Barn Designs Collective,contact2@redbarndesignscollecti.example,emh_2d655746f1,Northeast,2-5 employees,3,$100k-$250k,13,2,Decorated apparel,Mixed,Stitch-count based,When costs change,0.5261,True,False,False
NNEP-R0024,Summit Customs Group,owner3@summitcustomsgroup.example,emh_8b7f5be99e,South,6-10 employees,8,$500k-$1M,13,5,Decorated apparel,Corporate/commercial,Competitor-based,When costs change,0.4902,True,False,False
NNEP-R0025,Thread Stitch Co. Collective,info@threadstitchcocollecti.example,emh_c43c27dae5,West,6-10 employees,7,$500k-$1M,29,5,Custom embroidery,Corporate/commercial,Stitch-count based,Before every quote,0.9322,True,True,True
NNEP-R0026,Needle Teamwear Collective,contact@needleteamwearcollecti.example,emh_c0a7c16d78,Midwest,2-5 employees,3,$250k-$500k,8,2,Custom embroidery,Schools/teams,Hybrid/job costing,Rarely/never,0.4906,True,False,False
NNEP-R0027,Crown Wearables Company,sales@crownwearablescompany.example,emh_75703e08c0,Midwest,Solo owner/operator,1,$250k-$500k,24,1,Decorated apparel,Schools/teams,Value-based,Before every quote,0.9044,True,True,True
NNEP-R0028,Hoop Studio LLC,owner0@hoopstudiollc.example,emh_0dd4da6c8f,West,11-25 employees,19,$1M+,2,15,Custom embroidery,Small business/local orgs,Stitch-count based,Rarely/never,0.5183,True,False,False
NNEP-R0029,Bobbin Teamwear Company,office@bobbinteamwearcompany.example,emh_eb15a6bac7,Northeast,11-25 employees,11,$100k-$250k,32,8,Custom embroidery,Corporate/commercial,Hybrid/job costing,Before every quote,0.9488,True,True,True
NNEP-R0030,Bright Monograms Group,quotes@brightmonogramsgroup.example,emh_e01b6dc623,West,6-10 employees,10,$250k-$500k,1,10,Decorated apparel,Mixed,Stitch-count based,Annually,0.5935,True,True,True
NNEP-R0031,Oak Works Shop,sales@oakworksshop.example,emh_01ae8470fe,West,2-5 employees,3,Under $50k,1,2,Mixed services,Mostly consumers,Informal/custom quote,When costs change,0.3585,True,False,False
NNEP-R0032,Lakeside Stitch Co. Company,sales@lakesidestitchcocompan.example,emh_7a15f56d35,Midwest,2-5 employees,4,$250k-$500k,16,4,Contract embroidery,Corporate/commercial,Informal/custom quote,Before every quote,0.448,True,False,False
NNEP-R0033,Prairie Customs Shop,quotes@prairiecustomsshop.example,emh_7091baaf27,South,2-5 employees,5,Under $50k,9,2,Mixed services,Mixed,Hybrid/job costing,When costs change,0.4932,True,False,False
NNEP-R0034,Urban Decorated Goods Company,owner@urbandecoratedgoodscom.example,emh_a0d859bcd5,West,11-25 employees,25,$500k-$1M,21,15,Team/school spiritwear,Mixed,Value-based,Annually,0.99,True,False,False
NNEP-R0035,Lakeside Studio Shop,hello@lakesidestudioshop.example,emh_d26d9a477e,West,Solo owner/operator,1,$100k-$250k,5,2,Decorated apparel,Corporate/commercial,Informal/custom quote,Quarterly,0.3185,True,False,False
NNEP-R0036,Crown Embroidery LLC,hello@crownembroideryllc.example,emh_58b33451f1,South,Solo owner/operator,1,$50k-$100k,0,1,Mixed services,Mostly consumers,Competitor-based,Before every quote,0.4252,True,False,False
NNEP-R0037,Prairie Designs Shop,hello@prairiedesignsshop.example,emh_4ecc8cced3,South,2-5 employees,3,$50k-$100k,0,5,Decorated apparel,Small business/local orgs,Stitch-count based,Before every quote,0.306,True,True,True
NNEP-R0038,Summit Needleworks Shop,quotes@summitneedleworksshop.example,emh_6cc7537311,South,26+ employees,52,$1M+,17,24,Team/school spiritwear,Corporate/commercial,Value-based,Before every quote,0.99,False,True,False
NNEP-R0039,Silver Print & Stitch Collective,owner@silverprintstitchcolle.example,emh_e84c6154cb,Midwest,2-5 employees,4,$250k-$500k,7,2,Mixed services,Mixed,Stitch-count based,Quarterly,0.6978,True,False,False
NNEP-R0040,Oak Stitch Co. Shop,hello@oakstitchcoshop.example,emh_4089c33250,West,Solo owner/operator,1,$100k-$250k,0,2,Contract embroidery,Small business/local orgs,Hybrid/job costing,Rarely/never,0.2166,True,False,False
NNEP-R0041,Red Barn Threads Shop,owner@redbarnthreadsshop.example,emh_4e5ec76193,West,Solo owner/operator,1,Under $50k,0,1,Contract embroidery,Mixed,Stitch-count based,Rarely/never,0.1911,True,True,True
NNEP-R0042,Red Barn Designs LLC,office0@redbarndesignsllc.example,emh_21b558bcac,Midwest,26+ employees,48,$50k-$100k,31,12,Mixed services,Schools/teams,Hybrid/job costing,Quarterly,0.99,True,True,True
NNEP-R0043,Blue Ridge Wearables Shop,info@blueridgewearablesshop.example,emh_6ef3fbb329,South,Solo owner/operator,1,Under $50k,7,1,Decorated apparel,Mixed,Informal/custom quote,Quarterly,0.2755,True,False,False
NNEP-R0044,Blue Ridge Works,office2@blueridgeworks.example,emh_cf12c1c960,Northeast,26+ employees,40,$500k-$1M,23,10,Promotional products,Mixed,Hybrid/job costing,Annually,0.99,True,False,False
NNEP-R0045,Urban Works Collective,quotes@urbanworkscollective.example,emh_86a7e5950c,Midwest,Solo owner/operator,1,$500k-$1M,13,2,Decorated apparel,Schools/teams,Informal/custom quote,When costs change,0.1219,True,False,False
NNEP-R0046,Bobbin Teamwear Studio,owner@bobbinteamwearstudio.example,emh_80c89fe1e1,South,2-5 employees,4,$100k-$250k,15,2,Mixed services,Contract/B2B,Hourly rate,When costs change,0.4714,True,False,False
NNEP-R0047,Bobbin Monograms Collective,office@bobbinmonogramscollect.example,emh_d3201a53b8,West,2-5 employees,2,$250k-$500k,23,2,Custom embroidery,Small business/local orgs,Hybrid/job costing,When costs change,0.7359,True,True,True
NNEP-R0048,Willow Designs Group,contact@willowdesignsgroup.example,emh_fd9c1e0e0b,Northeast,2-5 employees,5,$250k-$500k,28,3,Decorated apparel,Contract/B2B,Stitch-count based,Annually,0.3723,True,False,False
NNEP-R0049,Golden Teamwear LLC,office@goldenteamwearllc.example,emh_c09f30849c,Midwest,Solo owner/operator,1,$50k-$100k,22,1,Custom embroidery,Schools/teams,Competitor-based,Rarely/never,0.3919,True,True,True
NNEP-R0050,Stitch Studio Collective,contact@stitchstudiocollective.example,emh_cd25da554b,West,Solo owner/operator,1,Under $50k,0,2,Mixed services,Mostly consumers,Competitor-based,When costs change,0.0618,True,False,False
NNEP-R0051,North Star Teamwear Shop,quotes@northstarteamwearshop.example,emh_bdb34c37e8,South,Solo owner/operator,1,$250k-$500k,25,1,Promotional products,Contract/B2B,Informal/custom quote,Quarterly,0.4531,True,True,True
NNEP-R0052,Urban Logo Shop Studio,quotes@urbanlogoshopstudio.example,emh_6ab7308276,Midwest,6-10 employees,7,$100k-$250k,2,6,Custom embroidery,Schools/teams,Competitor-based,Rarely/never,0.1694,True,True,True
NNEP-R0053,Needle Designs,office4@needledesigns.example,emh_c78866879d,Midwest,6-10 employees,10,$250k-$500k,14,3,Custom embroidery,Mostly consumers,Hybrid/job costing,When costs change,0.8532,False,True,False
NNEP-R0054,Prairie Digitizing Studio,info5@prairiedigitizingstudi.example,emh_fc9647b7a5,Northeast,2-5 employees,5,$500k-$1M,27,2,Mixed services,Contract/B2B,Hourly rate,When costs change,0.5122,True,False,False
NNEP-R0055,Cedar Stitch Co. Company,contact@cedarstitchcocompany.example,emh_f7b3c900c6,Midwest,2-5 employees,3,$50k-$100k,10,4,Mixed services,Schools/teams,Stitch-count based,When costs change,0.5641,True,False,False
NNEP-R0056,Thread Teamwear LLC,office@threadteamwearllc.example,emh_4eadd10e07,Canada/Other,6-10 employees,9,$100k-$250k,23,8,Custom embroidery,Schools/teams,Competitor-based,When costs change,0.6495,True,True,True
NNEP-R0057,Heritage Logo Shop Company,sales1@heritagelogoshopcompan.example,emh_13db2d0f9b,West,Solo owner/operator,1,$50k-$100k,0,1,Decorated apparel,Contract/B2B,Hourly rate,Rarely/never,0.02,True,False,False
NNEP-R0058,Red Barn Wearables Company,info@redbarnwearablescompan.example,emh_f5a11766ea,West,Solo owner/operator,1,Under $50k,9,2,Mixed services,Small business/local orgs,Informal/custom quote,Annually,0.3083,True,True,True
NNEP-R0059,River Creative Studio,info@rivercreativestudio.example,emh_7ba9bcf542,Midwest,Solo owner/operator,1,$250k-$500k,10,1,Custom embroidery,Contract/B2B,Hourly rate,Rarely/never,0.3058,True,False,False
NNEP-R0060,Sunrise Logo Shop Group,hello@sunriselogoshopgroup.example,emh_b5c7c76178,Canada/Other,2-5 employees,5,$250k-$500k,18,4,Custom embroidery,Mixed,Stitch-count based,Rarely/never,0.3449,True,False,False
NNEP-R0061,Golden Embroidery,office@goldenembroidery.example,emh_884adc1628,Northeast,2-5 employees,3,$250k-$500k,10,2,Promotional products,Mixed,Hybrid/job costing,Rarely/never,0.3713,True,False,False
NNEP-R0062,Crown Needleworks Studio,hello@crownneedleworksstudio.example,emh_8889da5ab5,Northeast,26+ employees,61,$500k-$1M,31,20,Custom embroidery,Small business/local orgs,Cost-plus,Before every quote,0.99,True,False,False
NNEP-R0063,Bright Teamwear Studio,contact0@brightteamwearstudio.example,emh_b8c7aef860,Midwest,2-5 employees,2,$250k-$500k,24,4,Custom embroidery,Contract/B2B,Hybrid/job costing,Quarterly,0.7172,True,False,False
NNEP-R0064,Main Street Threads Studio,quotes1@mainstreetthreadsstudi.example,emh_836e20fbc8,Northeast,2-5 employees,3,$500k-$1M,12,3,Custom embroidery,Mostly consumers,Stitch-count based,Annually,0.6383,True,True,True
NNEP-R0065,Lucky Teamwear Collective,quotes@luckyteamwearcollectiv.example,emh_696e8c1810,Midwest,2-5 employees,4,$250k-$500k,13,3,Decorated apparel,Contract/B2B,Cost-plus,Annually,0.4855,True,False,False
NNEP-R0066,Blue Ridge Stitch Co. Group,hello@blueridgestitchcogroup.example,emh_850b8ea7af,West,2-5 employees,3,$500k-$1M,0,3,Custom embroidery,Contract/B2B,Hybrid/job costing,Rarely/never,0.2406,True,False,False
NNEP-R0067,Heritage Threads Group,info@heritagethreadsgroup.example,emh_c1eb0a804f,Northeast,2-5 employees,2,$100k-$250k,3,3,Mixed services,Mostly consumers,Cost-plus,When costs change,0.2743,True,False,False
NNEP-R0068,Red Barn Decorated Goods,quotes5@redbarndecoratedgoods.example,emh_4f24ee87f1,South,6-10 employees,9,$250k-$500k,7,8,Contract embroidery,Mostly consumers,Stitch-count based,Annually,0.7323,True,False,False
NNEP-R0069,Golden Digitizing LLC,office@goldendigitizingllc.example,emh_a1cfb7a528,West,Solo owner/operator,1,Under $50k,5,1,Custom embroidery,Small business/local orgs,Cost-plus,When costs change,0.6286,False,True,False
NNEP-R0070,Cedar Works Company,info@cedarworkscompany.example,emh_28961dbcf1,Midwest,6-10 employees,7,$1M+,8,10,Custom embroidery,Contract/B2B,Cost-plus,When costs change,0.9008,True,True,True
NNEP-R0071,Lucky Designs Group,quotes@luckydesignsgroup.example,emh_4844ea6435,South,2-5 employees,2,$250k-$500k,9,6,Custom embroidery,Small business/local orgs,Stitch-count based,When costs change,0.2837,True,False,False
NNEP-R0072,Cedar Apparel Shop,hello2@cedarapparelshop.example,emh_4e3656523e,Midwest,Solo owner/operator,1,Under $50k,8,1,Decorated apparel,Corporate/commercial,Informal/custom quote,Rarely/never,0.1395,True,False,False
NNEP-R0073,Heritage Apparel Shop,info@heritageapparelshop.example,emh_a249e078f1,South,Solo owner/operator,1,$50k-$100k,1,2,Custom embroidery,Schools/teams,Hybrid/job costing,Annually,0.465,True,False,False
NNEP-R0074,Cedar Digitizing,owner@cedardigitizing.example,emh_370a17833e,Northeast,6-10 employees,10,$50k-$100k,10,6,Contract embroidery,Mostly consumers,Cost-plus,Annually,0.9897,True,False,False
NNEP-R0075,River Branding Studio,contact@riverbrandingstudio.example,emh_d7518b4416,South,Solo owner/operator,1,$100k-$250k,12,1,Custom embroidery,Mostly consumers,Stitch-count based,Rarely/never,0.0454,True,False,False
NNEP-R0076,North Star Monograms Company,office6@northstarmonogramscomp.example,emh_b7f942d56c,South,2-5 employees,4,$1M+,11,1,Decorated apparel,Contract/B2B,Hybrid/job costing,When costs change,0.6712,True,False,False
NNEP-R0077,Hoop Logo Shop Group,office@hooplogoshopgroup.example,emh_b327bcd054,West,2-5 employees,3,$100k-$250k,12,2,Decorated apparel,Mostly consumers,Hourly rate,Rarely/never,0.6095,True,True,True
NNEP-R0078,Blue Ridge Creative Studio,contact@blueridgecreativestudi.example,emh_46662fa702,South,2-5 employees,4,$500k-$1M,25,1,Decorated apparel,Mixed,Stitch-count based,When costs change,0.0853,True,False,False
NNEP-R0079,Lakeside Digitizing Group,contact2@lakesidedigitizinggrou.example,emh_f593e51656,Northeast,Solo owner/operator,1,$50k-$100k,0,3,Decorated apparel,Schools/teams,Hybrid/job costing,Rarely/never,0.3788,False,True,False
NNEP-R0080,Red Barn Customs Group,quotes@redbarncustomsgroup.example,emh_366346d60c,Northeast,2-5 employees,4,$500k-$1M,26,2,Mixed services,Small business/local orgs,Hourly rate,Quarterly,0.5397,True,False,False
NNEP-R0081,Oak Needleworks,office@oakneedleworks.example,emh_0ec5320856,Northeast,2-5 employees,5,Under $50k,4,2,Custom embroidery,Contract/B2B,Hybrid/job costing,Rarely/never,0.5292,True,False,False
NNEP-R0082,Oak Designs Group,info@oakdesignsgroup.example,emh_6e120fda95,Northeast,Solo owner/operator,1,$100k-$250k,0,1,Custom embroidery,Schools/teams,Informal/custom quote,When costs change,0.0651,True,False,False
NNEP-R0083,Lakeside Digitizing Company,info@lakesidedigitizingcomp.example,emh_74f6ea95b6,Midwest,Solo owner/operator,1,$100k-$250k,1,1,Contract embroidery,Mostly consumers,Cost-plus,Before every quote,0.5865,True,False,False
NNEP-R0084,Lakeside Teamwear Shop,quotes@lakesideteamwearshop.example,emh_95210fbb78,Northeast,2-5 employees,5,$100k-$250k,0,4,Mixed services,Schools/teams,Hybrid/job costing,Annually,0.6695,True,True,True
NNEP-R0085,Iron Customs Group,office@ironcustomsgroup.example,emh_6fd3af9173,Northeast,Solo owner/operator,1,$50k-$100k,4,1,Contract embroidery,Mostly consumers,Hybrid/job costing,Annually,0.6387,True,False,False
NNEP-R0086,Magnolia Wearables Collective,sales@magnoliawearablescolle.example,emh_a574bb7eaa,South,2-5 employees,4,Under $50k,2,4,Mixed services,Schools/teams,Stitch-count based,Annually,0.2435,True,False,False
NNEP-R0087,Silver Wearables Shop,quotes@silverwearablesshop.example,emh_c1c33e9f83,South,Solo owner/operator,1,Under $50k,0,2,Custom embroidery,Mixed,Value-based,When costs change,0.392,True,True,True
NNEP-R0088,Magnolia Teamwear LLC,sales@magnoliateamwearllc.example,emh_5afaff8e8b,Midwest,2-5 employees,4,$100k-$250k,9,2,Custom embroidery,Small business/local orgs,Stitch-count based,Rarely/never,0.3725,True,True,True
NNEP-R0089,Main Street Embroidery Studio,info@mainstreetembroideryst.example,emh_0065f75da6,South,Solo owner/operator,1,Under $50k,1,1,Custom embroidery,Small business/local orgs,Cost-plus,Rarely/never,0.3454,False,True,False
NNEP-R0090,Lakeside Threads Studio,owner@lakesidethreadsstudio.example,emh_5bf13c68af,South,Solo owner/operator,1,$100k-$250k,4,2,Promotional products,Schools/teams,Informal/custom quote,Annually,0.1265,False,True,False
NNEP-R0091,Crown Designs Company,hello@crowndesignscompany.example,emh_c4fd8c1ebf,West,6-10 employees,10,$1M+,19,6,Mixed services,Schools/teams,Competitor-based,Rarely/never,0.5441,True,True,True
NNEP-R0092,River Embroidery LLC,contact@riverembroideryllc.example,emh_c9a332889c,Midwest,Solo owner/operator,1,$100k-$250k,10,1,Custom embroidery,Mixed,Informal/custom quote,Before every quote,0.238,False,True,False
NNEP-R0093,Prairie Needleworks Studio,info@prairieneedleworksstud.example,emh_b249aafab0,Midwest,11-25 employees,21,$500k-$1M,21,15,Contract embroidery,Mixed,Hybrid/job costing,Quarterly,0.99,True,True,True
NNEP-R0094,River Embroidery Collective,contact@riverembroiderycollect.example,emh_6664b92e21,Northeast,11-25 employees,23,$100k-$250k,18,8,Custom embroidery,Schools/teams,Value-based,Before every quote,0.9752,True,False,False
NNEP-R0095,Heritage Studio Shop,quotes@heritagestudioshop.example,emh_97a3c5fdef,Midwest,2-5 employees,2,$100k-$250k,5,8,Decorated apparel,Small business/local orgs,Stitch-count based,When costs change,0.4816,True,True,True
NNEP-R0096,Hoop Digitizing Group,quotes@hoopdigitizinggroup.example,emh_23a3e4f74b,Canada/Other,Solo owner/operator,1,Under $50k,4,2,Custom embroidery,Mostly consumers,Hybrid/job costing,Annually,0.8199,True,True,True
NNEP-R0097,Oak Embroidery Company,quotes@oakembroiderycompany.example,emh_5d901a5ace,Midwest,Solo owner/operator,1,Under $50k,16,1,Decorated apparel,Small business/local orgs,Stitch-count based,Annually,0.4031,True,False,False
NNEP-R0098,Summit Teamwear Group,office@summitteamweargroup.example,emh_1ea32f8e10,Midwest,2-5 employees,4,$1M+,25,3,Custom embroidery,Small business/local orgs,Competitor-based,Before every quote,0.7523,True,False,False
NNEP-R0099,North Star Branding,hello@northstarbranding.example,emh_4e6d46818a,Northeast,2-5 employees,5,$250k-$500k,13,4,Mixed services,Schools/teams,Hybrid/job costing,Before every quote,0.9338,True,False,False
NNEP-R0100,Cedar Teamwear LLC,info@cedarteamwearllc.example,emh_ee4391f4a3,South,Solo owner/operator,1,$100k-$250k,9,3,Custom embroidery,Mostly consumers,Stitch-count based,When costs change,0.3355,True,False,False
NNEP-R0101,Maple Digitizing,quotes@mapledigitizing.example,emh_645ca2d766,Midwest,Solo owner/operator,1,Under $50k,1,2,Contract embroidery,Mixed,Hourly rate,Quarterly,0.5751,True,True,True
NNEP-R0102,Bright Digitizing Collective,office@brightdigitizingcollec.example,emh_3c8d83aad1,Midwest,6-10 employees,10,$100k-$250k,4,4,Custom embroidery,Mostly consumers,Hybrid/job costing,Before every quote,0.8343,True,False,False
NNEP-R0103,Lakeside Teamwear Company,info@lakesideteamwearcompan.example,emh_8b417e712f,Northeast,6-10 employees,8,$500k-$1M,13,6,Contract embroidery,Small business/local orgs,Hourly rate,Quarterly,0.861,True,False,False
NNEP-R0104,Maple Apparel Group,quotes@mapleapparelgroup.example,emh_7b6da482ef,West,2-5 employees,5,$250k-$500k,2,8,Custom embroidery,Contract/B2B,Stitch-count based,When costs change,0.4043,True,False,False
NNEP-R0105,Red Barn Apparel Group,info@redbarnapparelgroup.example,emh_70cd0ca372,Midwest,2-5 employees,3,$250k-$500k,1,3,Team/school spiritwear,Mixed,Informal/custom quote,Rarely/never,0.02,True,True,True
NNEP-R0106,Willow Designs Collective,office1@willowdesignscollectiv.example,emh_c2ddac45c1,Northeast,Solo owner/operator,1,Under $50k,2,2,Decorated apparel,Mostly consumers,Informal/custom quote,When costs change,0.1216,True,False,False
NNEP-R0107,Iron Designs Collective,hello@irondesignscollective.example,emh_ebfa62cb58,South,6-10 employees,10,$1M+,15,10,Custom embroidery,Small business/local orgs,Cost-plus,Annually,0.99,True,False,False
NNEP-R0108,Sunrise Digitizing LLC,sales3@sunrisedigitizingllc.example,emh_beae60828e,Midwest,11-25 employees,17,$500k-$1M,2,8,Promotional products,Schools/teams,Cost-plus,Quarterly,0.7009,True,False,False
NNEP-R0109,Pine Monograms LLC,sales@pinemonogramsllc.example,emh_acdb4772cd,South,11-25 employees,21,$500k-$1M,20,10,Promotional products,Corporate/commercial,Hybrid/job costing,Quarterly,0.99,True,False,False
NNEP-R0110,Lakeside Wearables LLC,sales@lakesidewearablesllc.example,emh_4756c4d109,West,Solo owner/operator,1,Under $50k,5,4,Team/school spiritwear,Mixed,Informal/custom quote,Rarely/never,0.1001,True,True,True
NNEP-R0111,Iron Creative,sales@ironcreative.example,emh_cda480619f,West,11-25 employees,17,$500k-$1M,29,10,Custom embroidery,Mostly consumers,Stitch-count based,Annually,0.99,True,False,False
NNEP-R0112,Willow Embroidery Group,quotes@willowembroiderygroup.example,emh_c165948192,South,11-25 employees,19,$250k-$500k,10,10,Contract embroidery,Mostly consumers,Stitch-count based,Quarterly,0.6359,True,False,False
NNEP-R0113,Red Barn Logo Shop Group,office@redbarnlogoshopgroup.example,emh_e11420492d,South,2-5 employees,2,$50k-$100k,20,3,Team/school spiritwear,Schools/teams,Stitch-count based,When costs change,0.5201,True,False,False
NNEP-R0114,Lucky Customs LLC,quotes2@luckycustomsllc.example,emh_e833468f2b,South,2-5 employees,3,Under $50k,5,6,Decorated apparel,Mixed,Value-based,When costs change,0.584,True,True,True
NNEP-R0115,Needle Stitch Co. Company,sales@needlestitchcocompany.example,emh_1b7b98d95a,Northeast,Solo owner/operator,1,$100k-$250k,3,1,Decorated apparel,Schools/teams,Stitch-count based,Before every quote,0.2393,True,False,False
NNEP-R0116,Golden Logo Shop Group,owner4@goldenlogoshopgroup.example,emh_246debde72,Midwest,Solo owner/operator,1,$50k-$100k,7,1,Contract embroidery,Corporate/commercial,Stitch-count based,Quarterly,0.4493,True,False,False
NNEP-R0117,Blue Ridge Creative LLC,info5@blueridgecreativellc.example,emh_a9a9e96604,Midwest,2-5 employees,4,$500k-$1M,0,4,Custom embroidery,Small business/local orgs,Cost-plus,Rarely/never,0.4741,True,False,False
NNEP-R0118,Lucky Studio Group,owner@luckystudiogroup.example,emh_fbe253739e,South,6-10 employees,10,$500k-$1M,20,6,Promotional products,Mostly consumers,Hybrid/job costing,Quarterly,0.9693,True,False,False
NNEP-R0119,Hoop Decorated Goods Shop,hello@hoopdecoratedgoodsshop.example,emh_398886fd41,South,2-5 employees,5,$100k-$250k,14,1,Promotional products,Small business/local orgs,Value-based,When costs change,0.6237,True,False,False
NNEP-R0120,Maple Threads Shop,sales@maplethreadsshop.example,emh_2722b06193,South,2-5 employees,5,$250k-$500k,18,1,Promotional products,Small business/local orgs,Hybrid/job costing,Before every quote,0.8786,True,False,False
NNEP-R0121,Bright Branding,info@brightbranding.example,emh_4cc65b2397,West,2-5 employees,4,$500k-$1M,15,5,Decorated apparel,Mixed,Cost-plus,Rarely/never,0.527,True,False,False
NNEP-R0122,Willow Needleworks,contact@willowneedleworks.example,emh_7c58829fc2,West,Solo owner/operator,1,Under $50k,11,1,Team/school spiritwear,Schools/teams,Hourly rate,When costs change,0.5816,True,False,False
NNEP-R0123,Urban Threads Company,owner@urbanthreadscompany.example,emh_4604763edc,Midwest,Solo owner/operator,1,$250k-$500k,6,2,Contract embroidery,Contract/B2B,Stitch-count based,When costs change,0.4123,True,False,False
NNEP-R0124,Iron Studio Group,info@ironstudiogroup.example,emh_89d0ae2f2c,Midwest,2-5 employees,4,$250k-$500k,18,2,Mixed services,Small business/local orgs,Cost-plus,Annually,0.859,True,False,False
