diagnostic_response_id,respondent_id,canonical_email,email_hash,source_row_id,submitted_at,business_name_clean,region,business_size,employee_count_band,annual_revenue_band,years_in_operation,years_in_operation_band,machine_count,primary_business_model,customer_mix,current_pricing_method,price_review_frequency,q1_score,q2_score,q3_score,q4_score,q5_score,q6_score,q7_score,q8_score,q9_score,q10_score,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,diagnostic_total_score,pricing_maturity_tier,has_structured_pricing_system,labor_underpriced_flag,profit_target_missing_flag,capacity_pricing_gap_flag
PD-2026-0011,NNEP-R0011,office@stitchdesignscollectiv.example,emh_db72b618ae,R_PD_000011,2026-04-30T17:29:24Z,Stitch Designs Collective,Northeast,26+ employees,26+ employees,$500k-$1M,28,21+,20,Custom embroidery,Corporate/commercial,Hybrid/job costing,When costs change,2,2,2,1,2,1,2,2,2,2,4,3,3,4,4,18,Strong Pricing System,True,False,False,False
PD-2026-0012,NNEP-R0012,hello@silverdecoratedgoodsco.example,emh_21d189b990,R_PD_000012,2026-02-20T00:19:06Z,Silver Decorated Goods Collective,Midwest,Solo owner/operator,Solo owner/operator,$100k-$250k,8,6-10,1,Decorated apparel,Mostly consumers,Informal/custom quote,Rarely/never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True
PD-2026-0013,NNEP-R0013,contact@luckyneedleworksstudio.example,emh_119ed13e71,R_PD_000013,2026-03-26T17:13:24Z,Lucky Needleworks Studio,West,2-5 employees,2-5 employees,Under $50k,8,6-10,3,Custom embroidery,Mostly consumers,Stitch-count based,Annually,2,2,1,2,2,2,2,2,2,2,4,3,4,4,4,19,Strong Pricing System,True,False,False,False
PD-2026-0014,NNEP-R0014,hello0@heritagebrandingshop.example,emh_b82a111b7a,R_PD_000014,2026-03-02T15:30:30Z,Heritage Branding Shop,Northeast,11-25 employees,11-25 employees,$1M+,2,2-5,10,Contract embroidery,Small business/local orgs,Informal/custom quote,Annually,2,1,0,1,1,1,1,0,1,1,3,1,2,1,2,9,Partial Pricing System,False,True,False,True
PD-2026-0015,NNEP-R0015,sales@cedarmonogramsllc.example,emh_364905e785,R_PD_000015,2026-02-08T12:25:01Z,Cedar Monograms LLC,South,2-5 employees,2-5 employees,$1M+,6,6-10,2,Custom embroidery,Mixed,Hybrid/job costing,When costs change,1,0,0,1,1,1,0,0,0,0,1,1,2,0,0,4,Pricing Blind Spots,True,True,False,True
PD-2026-0017,NNEP-R0017,quotes3@prairielogoshopstudio.example,emh_3b9c3f210f,R_PD_000016,2026-05-21T14:35:39Z,Prairie Logo Shop Studio,Midwest,Solo owner/operator,Solo owner/operator,$100k-$250k,21,21+,1,Mixed services,Small business/local orgs,Stitch-count based,When costs change,2,2,2,2,1,1,2,0,2,1,4,4,2,2,3,15,Partial Pricing System,False,False,False,False
PD-2026-0018,NNEP-R0018,hello@heritagedesignsgroup.example,emh_4d1549de09,R_PD_000017,2026-02-13T03:17:36Z,Heritage Designs Group,Northeast,Solo owner/operator,Solo owner/operator,$50k-$100k,10,6-10,3,Contract embroidery,Schools/teams,Cost-plus,Annually,1,2,1,0,0,1,0,1,1,1,3,1,1,1,2,8,Partial Pricing System,True,True,True,True
PD-2026-0019,NNEP-R0019,sales@silverdigitizing.example,emh_fe6ed00eba,R_PD_000018,2026-04-05T07:15:58Z,Silver Digitizing,South,2-5 employees,2-5 employees,Under $50k,13,11-20,1,Mixed services,Mostly consumers,Informal/custom quote,Annually,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,Pricing Blind Spots,False,True,True,True
PD-2026-0020,NNEP-R0020,office@hoopcustoms.example,emh_9ae713bc9f,R_PD_000019,2026-03-13T02:33:34Z,Hoop Customs,South,6-10 employees,6-10 employees,$50k-$100k,14,11-20,5,Mixed services,Mostly consumers,Stitch-count based,Annually,2,1,2,2,2,2,1,1,1,1,3,4,4,2,2,15,Partial Pricing System,False,False,False,False
PD-2026-0021,NNEP-R0021,owner@pinecustomscompany.example,emh_70e53d38e5,R_PD_000020,2026-03-25T17:08:15Z,Pine Customs Company,South,6-10 employees,6-10 employees,$500k-$1M,18,11-20,4,Custom embroidery,Mostly consumers,Stitch-count based,Before every quote,1,2,1,0,1,1,0,1,1,0,3,1,2,1,1,8,Partial Pricing System,False,True,False,True
PD-2026-0022,NNEP-R0022,sales@goldenworksshop.example,emh_1c4953a166,R_PD_000021,2026-03-25T07:37:48Z,Golden Works Shop,West,2-5 employees,2-5 employees,$50k-$100k,8,6-10,3,Mixed services,Mixed,Informal/custom quote,Quarterly,1,2,1,1,1,1,0,1,1,1,3,2,2,1,2,10,Partial Pricing System,False,False,False,True
PD-2026-0023,NNEP-R0023,contact2@redbarndesignscollecti.example,emh_2d655746f1,R_PD_000022,2026-04-05T21:59:34Z,Red Barn Designs Collective,Northeast,2-5 employees,2-5 employees,$100k-$250k,13,11-20,2,Decorated apparel,Mixed,Stitch-count based,When costs change,1,2,1,2,0,1,0,1,0,1,3,3,1,1,1,9,Partial Pricing System,False,False,True,True
PD-2026-0024,NNEP-R0024,owner3@summitcustomsgroup.example,emh_8b7f5be99e,R_PD_000023,2026-05-10T14:04:05Z,Summit Customs Group,South,6-10 employees,6-10 employees,$500k-$1M,13,11-20,5,Decorated apparel,Corporate/commercial,Competitor-based,When costs change,1,1,1,1,1,1,0,0,1,1,2,2,2,0,2,8,Partial Pricing System,False,False,False,True
PD-2026-0025,NNEP-R0025,info@threadstitchcocollecti.example,emh_c43c27dae5,R_PD_000024,2026-04-15T13:11:51Z,Thread Stitch Co. Collective,West,6-10 employees,6-10 employees,$500k-$1M,29,21+,5,Custom embroidery,Corporate/commercial,Stitch-count based,Before every quote,2,2,2,2,2,1,2,2,2,2,4,4,3,4,4,19,Strong Pricing System,True,False,False,False
PD-2026-0026,NNEP-R0026,contact@needleteamwearcollecti.example,emh_c0a7c16d78,R_PD_000025,2026-06-04T00:00:29Z,Needle Teamwear Collective,Midwest,2-5 employees,2-5 employees,$250k-$500k,8,6-10,2,Custom embroidery,Schools/teams,Hybrid/job costing,Rarely/never,1,1,1,1,0,1,1,0,1,1,2,2,1,1,2,8,Partial Pricing System,True,False,True,True
PD-2026-0027,NNEP-R0027,sales@crownwearablescompany.example,emh_75703e08c0,R_PD_000026,2026-03-04T21:48:03Z,Crown Wearables Company,Midwest,Solo owner/operator,Solo owner/operator,$250k-$500k,24,21+,1,Decorated apparel,Schools/teams,Value-based,Before every quote,2,2,2,2,1,2,2,2,2,1,4,4,3,4,3,18,Strong Pricing System,True,False,False,False
PD-2026-0028,NNEP-R0028,owner0@hoopstudiollc.example,emh_0dd4da6c8f,R_PD_000027,2026-04-22T21:57:09Z,Hoop Studio LLC,West,11-25 employees,11-25 employees,$1M+,2,2-5,15,Custom embroidery,Small business/local orgs,Stitch-count based,Rarely/never,1,2,1,1,1,1,1,1,1,0,3,2,2,2,1,10,Partial Pricing System,False,False,False,False
PD-2026-0029,NNEP-R0029,office@bobbinteamwearcompany.example,emh_eb15a6bac7,R_PD_000028,2026-04-04T14:03:07Z,Bobbin Teamwear Company,Northeast,11-25 employees,11-25 employees,$100k-$250k,32,21+,8,Custom embroidery,Corporate/commercial,Hybrid/job costing,Before every quote,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,20,Strong Pricing System,True,False,False,False
PD-2026-0030,NNEP-R0030,quotes@brightmonogramsgroup.example,emh_e01b6dc623,R_PD_000029,2026-02-09T15:19:19Z,Bright Monograms Group,West,6-10 employees,6-10 employees,$250k-$500k,1,<2,10,Decorated apparel,Mixed,Stitch-count based,Annually,2,1,1,1,1,1,0,1,1,2,3,2,2,1,3,11,Partial Pricing System,False,False,False,True
PD-2026-0031,NNEP-R0031,sales@oakworksshop.example,emh_01ae8470fe,R_PD_000030,2026-02-15T13:24:26Z,Oak Works Shop,West,2-5 employees,2-5 employees,Under $50k,1,<2,2,Mixed services,Mostly consumers,Informal/custom quote,When costs change,1,1,1,1,1,1,0,1,1,1,2,2,2,1,2,9,Partial Pricing System,False,False,False,True
PD-2026-0032,NNEP-R0032,sales@lakesidestitchcocompan.example,emh_7a15f56d35,R_PD_000031,2026-02-15T07:40:06Z,Lakeside Stitch Co. Company,Midwest,2-5 employees,2-5 employees,$250k-$500k,16,11-20,4,Contract embroidery,Corporate/commercial,Informal/custom quote,Before every quote,1,1,1,1,1,1,1,0,1,0,2,2,2,1,1,8,Partial Pricing System,False,False,False,True
PD-2026-0033,NNEP-R0033,quotes@prairiecustomsshop.example,emh_7091baaf27,R_PD_000032,2026-03-03T12:42:58Z,Prairie Customs Shop,South,2-5 employees,2-5 employees,Under $50k,9,6-10,2,Mixed services,Mixed,Hybrid/job costing,When costs change,1,1,0,2,1,1,1,1,1,0,2,2,2,2,1,9,Partial Pricing System,True,False,False,False
PD-2026-0034,NNEP-R0034,owner@urbandecoratedgoodscom.example,emh_a0d859bcd5,R_PD_000033,2026-03-14T06:13:41Z,Urban Decorated Goods Company,West,11-25 employees,11-25 employees,$500k-$1M,21,21+,15,Team/school spiritwear,Mixed,Value-based,Annually,2,2,2,2,2,2,1,1,2,2,4,4,4,2,4,18,Strong Pricing System,True,False,False,False
PD-2026-0035,NNEP-R0035,hello@lakesidestudioshop.example,emh_d26d9a477e,R_PD_000034,2026-02-10T23:54:40Z,Lakeside Studio Shop,West,Solo owner/operator,Solo owner/operator,$100k-$250k,5,2-5,2,Decorated apparel,Corporate/commercial,Informal/custom quote,Quarterly,1,1,1,1,0,0,0,0,1,0,2,2,0,0,1,5,Pricing Blind Spots,False,False,True,True
PD-2026-0036,NNEP-R0036,hello@crownembroideryllc.example,emh_58b33451f1,R_PD_000035,2026-05-30T09:53:32Z,Crown Embroidery LLC,South,Solo owner/operator,Solo owner/operator,$50k-$100k,0,<2,1,Mixed services,Mostly consumers,Competitor-based,Before every quote,1,1,1,1,1,1,0,0,1,2,2,2,2,0,3,9,Partial Pricing System,False,False,False,True
PD-2026-0037,NNEP-R0037,hello@prairiedesignsshop.example,emh_4ecc8cced3,R_PD_000036,2026-02-16T17:04:39Z,Prairie Designs Shop,South,2-5 employees,2-5 employees,$50k-$100k,0,<2,5,Decorated apparel,Small business/local orgs,Stitch-count based,Before every quote,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,3,Pricing Blind Spots,False,True,True,True
PD-2026-0039,NNEP-R0039,owner@silverprintstitchcolle.example,emh_e84c6154cb,R_PD_000037,2026-06-05T15:41:08Z,Silver Print & Stitch Collective,Midwest,2-5 employees,2-5 employees,$250k-$500k,7,6-10,2,Mixed services,Mixed,Stitch-count based,Quarterly,2,2,2,1,1,1,1,1,1,1,4,3,2,2,2,13,Partial Pricing System,False,False,False,False
PD-2026-0040,NNEP-R0040,hello@oakstitchcoshop.example,emh_4089c33250,R_PD_000038,2026-04-30T00:16:13Z,Oak Stitch Co. Shop,West,Solo owner/operator,Solo owner/operator,$100k-$250k,0,<2,2,Contract embroidery,Small business/local orgs,Hybrid/job costing,Rarely/never,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,3,Pricing Blind Spots,True,True,True,True
PD-2026-0041,NNEP-R0041,owner@redbarnthreadsshop.example,emh_4e5ec76193,R_PD_000039,2026-05-13T03:51:11Z,Red Barn Threads Shop,West,Solo owner/operator,Solo owner/operator,Under $50k,0,<2,1,Contract embroidery,Mixed,Stitch-count based,Rarely/never,1,1,0,1,0,0,0,0,0,0,2,1,0,0,0,3,Pricing Blind Spots,False,True,True,True
PD-2026-0042,NNEP-R0042,office0@redbarndesignsllc.example,emh_21b558bcac,R_PD_000040,2026-05-16T12:05:24Z,Red Barn Designs LLC,Midwest,26+ employees,26+ employees,$50k-$100k,31,21+,12,Mixed services,Schools/teams,Hybrid/job costing,Quarterly,2,2,2,2,2,2,2,1,2,1,4,4,4,3,3,18,Strong Pricing System,True,False,False,False
PD-2026-0043,NNEP-R0043,info@blueridgewearablesshop.example,emh_6ef3fbb329,R_PD_000041,2026-04-10T16:36:56Z,Blue Ridge Wearables Shop,South,Solo owner/operator,Solo owner/operator,Under $50k,7,6-10,1,Decorated apparel,Mixed,Informal/custom quote,Quarterly,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,Pricing Blind Spots,False,True,True,True
PD-2026-0044,NNEP-R0044,office2@blueridgeworks.example,emh_cf12c1c960,R_PD_000042,2026-05-27T05:06:14Z,Blue Ridge Works,Northeast,26+ employees,26+ employees,$500k-$1M,23,21+,10,Promotional products,Mixed,Hybrid/job costing,Annually,2,2,1,2,1,2,2,2,2,2,4,3,3,4,4,18,Strong Pricing System,True,False,False,False
PD-2026-0045,NNEP-R0045,quotes@urbanworkscollective.example,emh_86a7e5950c,R_PD_000043,2026-05-14T09:28:14Z,Urban Works Collective,Midwest,Solo owner/operator,Solo owner/operator,$500k-$1M,13,11-20,2,Decorated apparel,Schools/teams,Informal/custom quote,When costs change,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,3,Pricing Blind Spots,False,True,True,True
PD-2026-0046,NNEP-R0046,owner@bobbinteamwearstudio.example,emh_80c89fe1e1,R_PD_000044,2026-04-22T12:17:41Z,Bobbin Teamwear Studio,South,2-5 employees,2-5 employees,$100k-$250k,15,11-20,2,Mixed services,Contract/B2B,Hourly rate,When costs change,1,1,1,1,1,1,0,1,1,0,2,2,2,1,1,8,Partial Pricing System,False,False,False,True
PD-2026-0047,NNEP-R0047,office@bobbinmonogramscollect.example,emh_d3201a53b8,R_PD_000045,2026-03-10T02:34:21Z,Bobbin Monograms Collective,West,2-5 employees,2-5 employees,$250k-$500k,23,21+,2,Custom embroidery,Small business/local orgs,Hybrid/job costing,When costs change,2,2,2,2,1,1,1,1,1,1,4,4,2,2,2,14,Partial Pricing System,True,False,False,False
PD-2026-0048,NNEP-R0048,contact@willowdesignsgroup.example,emh_fd9c1e0e0b,R_PD_000046,2026-06-01T16:35:18Z,Willow Designs Group,Northeast,2-5 employees,2-5 employees,$250k-$500k,28,21+,3,Decorated apparel,Contract/B2B,Stitch-count based,Annually,1,1,0,1,1,1,1,0,2,1,2,1,2,1,3,9,Partial Pricing System,False,True,False,True
PD-2026-0049,NNEP-R0049,office@goldenteamwearllc.example,emh_c09f30849c,R_PD_000047,2026-05-05T06:24:40Z,Golden Teamwear LLC,Midwest,Solo owner/operator,Solo owner/operator,$50k-$100k,22,21+,1,Custom embroidery,Schools/teams,Competitor-based,Rarely/never,1,1,1,1,0,1,1,0,1,1,2,2,1,1,2,8,Partial Pricing System,False,False,True,True
PD-2026-0050,NNEP-R0050,contact@stitchstudiocollective.example,emh_cd25da554b,R_PD_000048,2026-03-01T15:27:13Z,Stitch Studio Collective,West,Solo owner/operator,Solo owner/operator,Under $50k,0,<2,2,Mixed services,Mostly consumers,Competitor-based,When costs change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True
PD-2026-0051,NNEP-R0051,quotes@northstarteamwearshop.example,emh_bdb34c37e8,R_PD_000049,2026-02-27T21:28:11Z,North Star Teamwear Shop,South,Solo owner/operator,Solo owner/operator,$250k-$500k,25,21+,1,Promotional products,Contract/B2B,Informal/custom quote,Quarterly,1,2,1,1,1,1,1,0,0,1,3,2,2,1,1,9,Partial Pricing System,False,False,False,True
PD-2026-0052,NNEP-R0052,quotes@urbanlogoshopstudio.example,emh_6ab7308276,R_PD_000050,2026-02-18T16:17:36Z,Urban Logo Shop Studio,Midwest,6-10 employees,6-10 employees,$100k-$250k,2,2-5,6,Custom embroidery,Schools/teams,Competitor-based,Rarely/never,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,Pricing Blind Spots,False,True,True,True
PD-2026-0054,NNEP-R0054,info5@prairiedigitizingstudi.example,emh_fc9647b7a5,R_PD_000051,2026-02-15T19:28:00Z,Prairie Digitizing Studio,Northeast,2-5 employees,2-5 employees,$500k-$1M,27,21+,2,Mixed services,Contract/B2B,Hourly rate,When costs change,2,1,1,1,1,1,1,0,1,1,3,2,2,1,2,10,Partial Pricing System,False,False,False,True
PD-2026-0055,NNEP-R0055,contact@cedarstitchcocompany.example,emh_f7b3c900c6,R_PD_000052,2026-05-01T20:21:57Z,Cedar Stitch Co. Company,Midwest,2-5 employees,2-5 employees,$50k-$100k,10,6-10,4,Mixed services,Schools/teams,Stitch-count based,When costs change,2,2,1,1,1,1,1,0,2,1,4,2,2,1,3,12,Partial Pricing System,False,False,False,True
PD-2026-0056,NNEP-R0056,office@threadteamwearllc.example,emh_4eadd10e07,R_PD_000053,2026-05-06T04:59:01Z,Thread Teamwear LLC,Canada/Other,6-10 employees,6-10 employees,$100k-$250k,23,21+,8,Custom embroidery,Schools/teams,Competitor-based,When costs change,2,2,1,1,1,1,1,1,2,1,4,2,2,2,3,13,Partial Pricing System,False,False,False,False
PD-2026-0057,NNEP-R0057,sales1@heritagelogoshopcompan.example,emh_13db2d0f9b,R_PD_000054,2026-05-30T01:51:01Z,Heritage Logo Shop Company,West,Solo owner/operator,Solo owner/operator,$50k-$100k,0,<2,1,Decorated apparel,Contract/B2B,Hourly rate,Rarely/never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True
PD-2026-0058,NNEP-R0058,info@redbarnwearablescompan.example,emh_f5a11766ea,R_PD_000055,2026-02-19T23:18:23Z,Red Barn Wearables Company,West,Solo owner/operator,Solo owner/operator,Under $50k,9,6-10,2,Mixed services,Small business/local orgs,Informal/custom quote,Annually,1,1,0,1,1,0,1,0,1,0,2,1,1,1,1,6,Pricing Blind Spots,False,True,True,True
PD-2026-0059,NNEP-R0059,info@rivercreativestudio.example,emh_7ba9bcf542,R_PD_000056,2026-03-01T10:35:22Z,River Creative Studio,Midwest,Solo owner/operator,Solo owner/operator,$250k-$500k,10,6-10,1,Custom embroidery,Contract/B2B,Hourly rate,Rarely/never,1,1,0,0,1,0,0,1,1,0,2,0,1,1,1,5,Pricing Blind Spots,False,True,True,True
PD-2026-0060,NNEP-R0060,hello@sunriselogoshopgroup.example,emh_b5c7c76178,R_PD_000057,2026-03-08T04:17:15Z,Sunrise Logo Shop Group,Canada/Other,2-5 employees,2-5 employees,$250k-$500k,18,11-20,4,Custom embroidery,Mixed,Stitch-count based,Rarely/never,1,1,0,1,0,1,0,0,0,1,2,1,1,0,1,5,Pricing Blind Spots,False,True,True,True
PD-2026-0061,NNEP-R0061,office@goldenembroidery.example,emh_884adc1628,R_PD_000058,2026-02-04T11:07:59Z,Golden Embroidery,Northeast,2-5 employees,2-5 employees,$250k-$500k,10,6-10,2,Promotional products,Mixed,Hybrid/job costing,Rarely/never,1,1,1,0,1,0,1,1,1,1,2,1,1,2,2,8,Partial Pricing System,True,True,True,False
PD-2026-0062,NNEP-R0062,hello@crownneedleworksstudio.example,emh_8889da5ab5,R_PD_000059,2026-03-20T17:06:19Z,Crown Needleworks Studio,Northeast,26+ employees,26+ employees,$500k-$1M,31,21+,20,Custom embroidery,Small business/local orgs,Cost-plus,Before every quote,2,2,2,2,1,1,2,2,2,2,4,4,2,4,4,18,Strong Pricing System,True,False,False,False
PD-2026-0063,NNEP-R0063,contact0@brightteamwearstudio.example,emh_b8c7aef860,R_PD_000060,2026-04-20T11:59:53Z,Bright Teamwear Studio,Midwest,2-5 employees,2-5 employees,$250k-$500k,24,21+,4,Custom embroidery,Contract/B2B,Hybrid/job costing,Quarterly,2,2,1,1,2,2,1,1,1,2,4,2,4,2,3,15,Partial Pricing System,True,False,False,False
PD-2026-0064,NNEP-R0064,quotes1@mainstreetthreadsstudi.example,emh_836e20fbc8,R_PD_000061,2026-02-03T06:47:46Z,Main Street Threads Studio,Northeast,2-5 employees,2-5 employees,$500k-$1M,12,11-20,3,Custom embroidery,Mostly consumers,Stitch-count based,Annually,2,2,1,1,1,1,1,1,1,1,4,2,2,2,2,12,Partial Pricing System,False,False,False,False
PD-2026-0065,NNEP-R0065,quotes@luckyteamwearcollectiv.example,emh_696e8c1810,R_PD_000062,2026-05-11T17:46:21Z,Lucky Teamwear Collective,Midwest,2-5 employees,2-5 employees,$250k-$500k,13,11-20,3,Decorated apparel,Contract/B2B,Cost-plus,Annually,1,1,1,1,1,1,0,1,1,1,2,2,2,1,2,9,Partial Pricing System,True,False,False,True
PD-2026-0066,NNEP-R0066,hello@blueridgestitchcogroup.example,emh_850b8ea7af,R_PD_000063,2026-02-06T17:42:08Z,Blue Ridge Stitch Co. Group,West,2-5 employees,2-5 employees,$500k-$1M,0,<2,3,Custom embroidery,Contract/B2B,Hybrid/job costing,Rarely/never,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0,3,Pricing Blind Spots,True,True,True,True
PD-2026-0067,NNEP-R0067,info@heritagethreadsgroup.example,emh_c1eb0a804f,R_PD_000064,2026-03-25T23:03:19Z,Heritage Threads Group,Northeast,2-5 employees,2-5 employees,$100k-$250k,3,2-5,3,Mixed services,Mostly consumers,Cost-plus,When costs change,2,1,0,1,0,0,0,0,0,1,3,1,0,0,1,5,Pricing Blind Spots,True,True,True,True
PD-2026-0068,NNEP-R0068,quotes5@redbarndecoratedgoods.example,emh_4f24ee87f1,R_PD_000065,2026-02-19T11:44:43Z,Red Barn Decorated Goods,South,6-10 employees,6-10 employees,$250k-$500k,7,6-10,8,Contract embroidery,Mostly consumers,Stitch-count based,Annually,2,2,1,2,2,1,1,1,1,2,4,3,3,2,3,15,Partial Pricing System,False,False,False,False
PD-2026-0070,NNEP-R0070,info@cedarworkscompany.example,emh_28961dbcf1,R_PD_000066,2026-05-18T16:58:44Z,Cedar Works Company,Midwest,6-10 employees,6-10 employees,$1M+,8,6-10,10,Custom embroidery,Contract/B2B,Cost-plus,When costs change,1,2,2,2,2,1,2,2,2,2,3,4,3,4,4,18,Strong Pricing System,True,False,False,False
PD-2026-0071,NNEP-R0071,quotes@luckydesignsgroup.example,emh_4844ea6435,R_PD_000067,2026-03-13T17:06:49Z,Lucky Designs Group,South,2-5 employees,2-5 employees,$250k-$500k,9,6-10,6,Custom embroidery,Small business/local orgs,Stitch-count based,When costs change,1,0,0,0,0,1,0,0,1,1,1,0,1,0,2,4,Pricing Blind Spots,False,True,True,True
PD-2026-0072,NNEP-R0072,hello2@cedarapparelshop.example,emh_4e3656523e,R_PD_000068,2026-03-03T11:37:17Z,Cedar Apparel Shop,Midwest,Solo owner/operator,Solo owner/operator,Under $50k,8,6-10,1,Decorated apparel,Corporate/commercial,Informal/custom quote,Rarely/never,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pricing Blind Spots,False,True,True,True
PD-2026-0073,NNEP-R0073,info@heritageapparelshop.example,emh_a249e078f1,R_PD_000069,2026-04-03T04:17:50Z,Heritage Apparel Shop,South,Solo owner/operator,Solo owner/operator,$50k-$100k,1,<2,2,Custom embroidery,Schools/teams,Hybrid/job costing,Annually,1,1,1,1,1,1,1,0,0,1,2,2,2,1,1,8,Partial Pricing System,True,False,False,True
PD-2026-0074,NNEP-R0074,owner@cedardigitizing.example,emh_370a17833e,R_PD_000070,2026-05-01T12:13:41Z,Cedar Digitizing,Northeast,6-10 employees,6-10 employees,$50k-$100k,10,6-10,6,Contract embroidery,Mostly consumers,Cost-plus,Annually,2,2,2,2,1,1,1,1,2,1,4,4,2,2,3,15,Partial Pricing System,True,False,False,False
