respondent_id,canonical_email,email_hash,business_name_clean,region,business_size,years_in_operation,machine_count,current_pricing_method,diagnostic_total_score,pricing_maturity_tier,lowest_driver,production_cost_score,real_labor_score,intended_profit_score,capacity_pressure_score,end_customer_value_score,confidence_score_1_5,pricing_confidence_level,confidence_alignment,charges_setup_fee,charges_rush_fee,uses_tiered_pricing,discounting_frequency,perceived_profitability,plans_price_increase_2026,overlap_join_quality,diagnostic_source_row_id,benchmark_source_row_id
NNEP-R0037,hello@prairiedesignsshop.example,emh_4ecc8cced3,Prairie Designs Shop,South,2-5 employees,0,5,Stitch-count based,3,Pricing Blind Spots,Real Labor,1,0,0,1,1,3,Somewhat confident,Broadly aligned,False,True,False,Frequently,Very strong,False,manual_review_suggested,R_PD_000036,R_BM_000012
NNEP-R0041,owner@redbarnthreadsshop.example,emh_4e5ec76193,Red Barn Threads Shop,West,Solo owner/operator,0,1,Stitch-count based,3,Pricing Blind Spots,Intended Profit,2,1,0,0,0,5,Very confident,Overconfident relative to diagnostic,False,False,True,Frequently,Variable,False,exact_raw_email_match,R_PD_000039,R_BM_000014
NNEP-R0042,office0@redbarndesignsllc.example,emh_21b558bcac,Red Barn Designs LLC,Midwest,26+ employees,31,12,Hybrid/job costing,18,Strong Pricing System,Capacity Pressure,4,4,4,3,3,4,Confident,Broadly aligned,True,False,True,Frequently,Acceptable,False,exact_raw_email_match,R_PD_000040,R_BM_000015
NNEP-R0047,office@bobbinmonogramscollect.example,emh_d3201a53b8,Bobbin Monograms Collective,West,2-5 employees,23,2,Hybrid/job costing,14,Partial Pricing System,Intended Profit,4,4,2,2,2,4,Confident,Broadly aligned,False,True,False,Never,Very strong,False,exact_raw_email_match,R_PD_000045,R_BM_000016
NNEP-R0049,office@goldenteamwearllc.example,emh_c09f30849c,Golden Teamwear LLC,Midwest,Solo owner/operator,22,1,Competitor-based,8,Partial Pricing System,Intended Profit,2,2,1,1,2,4,Confident,Broadly aligned,False,False,True,Sometimes,Acceptable,False,exact_raw_email_match,R_PD_000047,R_BM_000017
NNEP-R0051,quotes@northstarteamwearshop.example,emh_bdb34c37e8,North Star Teamwear Shop,South,Solo owner/operator,25,1,Informal/custom quote,9,Partial Pricing System,Capacity Pressure,3,2,2,1,1,3,Somewhat confident,Broadly aligned,False,True,False,Sometimes,Acceptable,True,exact_raw_email_match,R_PD_000049,R_BM_000018
NNEP-R0052,quotes@urbanlogoshopstudio.example,emh_6ab7308276,Urban Logo Shop Studio,Midwest,6-10 employees,2,6,Competitor-based,2,Pricing Blind Spots,Real Labor,2,0,0,0,0,5,Very confident,Overconfident relative to diagnostic,False,True,False,Never,Struggling,True,exact_raw_email_match,R_PD_000050,R_BM_000019
NNEP-R0056,office@threadteamwearllc.example,emh_4eadd10e07,Thread Teamwear LLC,Canada/Other,6-10 employees,23,8,Competitor-based,13,Partial Pricing System,Real Labor,4,2,2,2,3,4,Confident,Broadly aligned,False,True,True,Rarely,Acceptable,False,exact_raw_email_match,R_PD_000053,R_BM_000021
NNEP-R0058,info@redbarnwearablescompan.example,emh_f5a11766ea,Red Barn Wearables Company,West,Solo owner/operator,9,2,Informal/custom quote,6,Pricing Blind Spots,Real Labor,2,1,1,1,1,3,Somewhat confident,Broadly aligned,False,False,False,Sometimes,Struggling,True,exact_raw_email_match,R_PD_000055,R_BM_000022
NNEP-R0064,quotes1@mainstreetthreadsstudi.example,emh_836e20fbc8,Main Street Threads Studio,Northeast,2-5 employees,12,3,Stitch-count based,12,Partial Pricing System,Real Labor,4,2,2,2,2,3,Somewhat confident,Broadly aligned,False,False,False,Sometimes,Acceptable,False,exact_raw_email_match,R_PD_000061,R_BM_000023
NNEP-R0070,info@cedarworkscompany.example,emh_28961dbcf1,Cedar Works Company,Midwest,6-10 employees,8,10,Cost-plus,18,Strong Pricing System,Production Cost,3,4,3,4,4,3,Somewhat confident,Underconfident relative to diagnostic,True,False,False,Sometimes,Very strong,True,exact_raw_email_match,R_PD_000066,R_BM_000025
NNEP-R0077,office@hooplogoshopgroup.example,emh_b327bcd054,Hoop Logo Shop Group,West,2-5 employees,12,2,Hourly rate,14,Partial Pricing System,Intended Profit,4,4,2,2,2,4,Confident,Broadly aligned,True,True,False,Sometimes,Struggling,True,normalized_email_match,R_PD_000073,R_BM_000026
NNEP-R0084,quotes@lakesideteamwearshop.example,emh_95210fbb78,Lakeside Teamwear Shop,Northeast,2-5 employees,0,4,Hybrid/job costing,15,Partial Pricing System,Capacity Pressure,4,4,3,2,2,4,Confident,Broadly aligned,True,True,True,Rarely,Good,False,exact_raw_email_match,R_PD_000079,R_BM_000028
NNEP-R0087,quotes@silverwearablesshop.example,emh_c1c33e9f83,Silver Wearables Shop,South,Solo owner/operator,0,2,Value-based,5,Pricing Blind Spots,Intended Profit,2,1,0,0,2,1,Not confident,Broadly aligned,True,False,False,Frequently,Variable,False,exact_raw_email_match,R_PD_000082,R_BM_000029
NNEP-R0088,sales@magnoliateamwearllc.example,emh_5afaff8e8b,Magnolia Teamwear LLC,Midwest,2-5 employees,9,2,Stitch-count based,9,Partial Pricing System,Capacity Pressure,4,2,1,0,2,1,Not confident,Broadly aligned,True,True,False,Never,Good,False,normalized_email_match,R_PD_000083,R_BM_000030
NNEP-R0091,hello@crowndesignscompany.example,emh_c4fd8c1ebf,Crown Designs Company,West,6-10 employees,19,6,Competitor-based,9,Partial Pricing System,Intended Profit,3,2,1,1,2,4,Confident,Broadly aligned,True,True,False,Sometimes,Struggling,True,normalized_email_match,R_PD_000084,R_BM_000033
NNEP-R0093,info@prairieneedleworksstud.example,emh_b249aafab0,Prairie Needleworks Studio,Midwest,11-25 employees,21,15,Hybrid/job costing,20,Strong Pricing System,Production Cost,4,4,4,4,4,4,Confident,Broadly aligned,True,True,False,Rarely,Good,False,exact_raw_email_match,R_PD_000085,R_BM_000035
NNEP-R0095,quotes@heritagestudioshop.example,emh_97a3c5fdef,Heritage Studio Shop,Midwest,2-5 employees,5,8,Stitch-count based,10,Partial Pricing System,Production Cost,2,2,2,2,2,2,Slightly confident,Broadly aligned,True,False,False,Sometimes,Good,False,normalized_email_match,R_PD_000087,R_BM_000036
NNEP-R0096,quotes@hoopdigitizinggroup.example,emh_23a3e4f74b,Hoop Digitizing Group,Canada/Other,Solo owner/operator,4,2,Hybrid/job costing,15,Partial Pricing System,Real Labor,4,2,2,3,4,5,Very confident,Potentially overconfident,True,True,False,Sometimes,Variable,False,exact_raw_email_match,R_PD_000088,R_BM_000037
NNEP-R0101,quotes@mapledigitizing.example,emh_645ca2d766,Maple Digitizing,Midwest,Solo owner/operator,1,2,Hourly rate,12,Partial Pricing System,Capacity Pressure,3,3,2,1,3,2,Slightly confident,Broadly aligned,False,True,False,Rarely,Variable,False,exact_raw_email_match,R_PD_000093,R_BM_000038
NNEP-R0105,info@redbarnapparelgroup.example,emh_70cd0ca372,Red Barn Apparel Group,Midwest,2-5 employees,1,3,Informal/custom quote,1,Pricing Blind Spots,Real Labor,1,0,0,0,0,5,Very confident,Overconfident relative to diagnostic,False,True,False,Sometimes,Struggling,True,exact_raw_email_match,R_PD_000097,R_BM_000039
NNEP-R0110,sales@lakesidewearablesllc.example,emh_4756c4d109,Lakeside Wearables LLC,West,Solo owner/operator,5,4,Informal/custom quote,1,Pricing Blind Spots,Real Labor,1,0,0,0,0,5,Very confident,Overconfident relative to diagnostic,False,False,False,Rarely,Good,True,exact_raw_email_match,R_PD_000102,R_BM_000040
NNEP-R0114,quotes2@luckycustomsllc.example,emh_e833468f2b,Lucky Customs LLC,South,2-5 employees,5,6,Value-based,10,Partial Pricing System,Intended Profit,2,3,1,1,3,4,Confident,Broadly aligned,True,False,True,Sometimes,Variable,False,exact_raw_email_match,R_PD_000106,R_BM_000041
NNEP-R0128,quotes@riverstitchcollc.example,emh_152bc46452,River Stitch Co. LLC,Midwest,6-10 employees,14,5,Hybrid/job costing,12,Partial Pricing System,Real Labor,4,2,2,2,2,2,Slightly confident,Broadly aligned,True,True,False,Sometimes,Variable,False,exact_raw_email_match,R_PD_000120,R_BM_000042
NNEP-R0132,quotes@cedarteamwearcollectiv.example,emh_379410fd8c,Cedar Teamwear Collective,Northeast,2-5 employees,11,4,Cost-plus,11,Partial Pricing System,Real Labor,3,2,2,2,2,1,Not confident,Broadly aligned,True,True,False,Rarely,Good,True,exact_raw_email_match,R_PD_000123,R_BM_000044
NNEP-R0134,info@hoopdigitizingcollecti.example,emh_eee816b38b,Hoop Digitizing Collective,Northeast,Solo owner/operator,7,3,Informal/custom quote,2,Pricing Blind Spots,Real Labor,1,0,0,0,1,1,Not confident,Broadly aligned,False,False,True,Frequently,Variable,False,exact_raw_email_match,R_PD_000125,R_BM_000045
NNEP-R0140,contact@summitapparel.example,emh_e03c1b0685,Summit Apparel,South,2-5 employees,15,6,Hourly rate,9,Partial Pricing System,Capacity Pressure,3,2,2,0,2,3,Somewhat confident,Broadly aligned,False,True,True,Sometimes,Very strong,False,exact_raw_email_match,R_PD_000131,R_BM_000046
NNEP-R0149,contact2@urbandecoratedgoodscol.example,emh_d5054b0a85,Urban Decorated Goods Collective,South,2-5 employees,6,2,Competitor-based,4,Pricing Blind Spots,Production Cost,0,1,1,1,1,2,Slightly confident,Broadly aligned,False,False,True,Sometimes,Good,True,exact_raw_email_match,R_PD_000140,R_BM_000047
NNEP-R0155,office1@silverteamwearllc.example,emh_61c06b45c4,Silver Teamwear LLC,Northeast,2-5 employees,32,4,Hybrid/job costing,17,Strong Pricing System,End Customer Value,4,3,4,4,2,2,Slightly confident,Underconfident relative to diagnostic,True,True,False,Rarely,Good,True,exact_raw_email_match,R_PD_000145,R_BM_000049
NNEP-R0163,hello@lakesidelogoshopcollec.example,emh_7613fe54fe,Lakeside Logo Shop Collective,Midwest,2-5 employees,14,10,Cost-plus,15,Partial Pricing System,Capacity Pressure,4,3,4,2,2,4,Confident,Broadly aligned,False,True,False,Sometimes,Acceptable,False,exact_raw_email_match,R_PD_000153,R_BM_000050
NNEP-R0165,quotes@mainstreetdecoratedgoo.example,emh_347f531176,Main Street Decorated Goods LLC,West,6-10 employees,11,6,Cost-plus,18,Strong Pricing System,Intended Profit,4,4,3,4,3,4,Confident,Broadly aligned,True,True,False,Rarely,Variable,False,exact_raw_email_match,R_PD_000155,R_BM_000051
NNEP-R0168,owner@brightcustomscollectiv.example,emh_041937ff3b,Bright Customs Collective,Midwest,2-5 employees,9,2,Hybrid/job costing,10,Partial Pricing System,Real Labor,2,1,3,2,2,4,Confident,Broadly aligned,False,False,False,Sometimes,Acceptable,True,exact_raw_email_match,R_PD_000158,R_BM_000052
NNEP-R0171,sales@luckyprintstitchshop.example,emh_9b600f4ca6,Lucky Print & Stitch Shop,Midwest,Solo owner/operator,11,4,Competitor-based,0,Pricing Blind Spots,Production Cost,0,0,0,0,0,1,Not confident,Broadly aligned,True,False,False,Frequently,Very strong,True,exact_raw_email_match,R_PD_000160,R_BM_000054
NNEP-R0174,office@heritageneedleworkscom.example,emh_f30e7a697a,Heritage Needleworks Company,Midwest,Solo owner/operator,0,2,Competitor-based,2,Pricing Blind Spots,Real Labor,1,0,1,0,0,1,Not confident,Broadly aligned,False,False,True,Never,Good,False,normalized_email_match,R_PD_000163,R_BM_000055
NNEP-R0191,owner2@maplestudiocollective.example,emh_fa69f8ff92,Maple Studio Collective,West,2-5 employees,10,3,Informal/custom quote,8,Partial Pricing System,Production Cost,1,2,1,2,2,3,Somewhat confident,Broadly aligned,True,False,False,Sometimes,Acceptable,False,exact_raw_email_match,R_PD_000177,R_BM_000059
NNEP-R0197,info@summitlogoshopstudio.example,emh_015342e155,Summit Logo Shop Studio,Midwest,Solo owner/operator,3,1,Informal/custom quote,1,Pricing Blind Spots,Real Labor,1,0,0,0,0,1,Not confident,Broadly aligned,False,False,False,Frequently,Struggling,True,exact_raw_email_match,R_PD_000183,R_BM_000060
NNEP-R0199,hello@crownprintstitchstudio.example,emh_c46b5021bb,Crown Print & Stitch Studio,Northeast,Solo owner/operator,6,1,Stitch-count based,0,Pricing Blind Spots,Production Cost,0,0,0,0,0,1,Not confident,Broadly aligned,False,False,False,Sometimes,Variable,False,exact_raw_email_match,R_PD_000185,R_BM_000061
NNEP-R0211,info1@oakstitchcocompany.example,emh_f02ba2f087,Oak Stitch Co. Company,West,2-5 employees,1,2,Hourly rate,14,Partial Pricing System,Intended Profit,3,3,2,3,3,3,Somewhat confident,Broadly aligned,True,True,True,Rarely,Very strong,False,exact_raw_email_match,R_PD_000197,R_BM_000062
NNEP-R0212,owner2@hoopdesignscompany.example,emh_bd002e9186,Hoop Designs Company,Northeast,26+ employees,2,15,Hybrid/job costing,20,Strong Pricing System,Production Cost,4,4,4,4,4,4,Confident,Broadly aligned,True,False,True,Sometimes,Variable,False,exact_raw_email_match,R_PD_000198,R_BM_000063
NNEP-R0220,owner@crownbrandinggroup.example,emh_7e84cab582,Crown Branding Group,Northeast,26+ employees,19,12,Hybrid/job costing,18,Strong Pricing System,Production Cost,3,3,4,4,4,5,Very confident,Broadly aligned,True,True,False,Rarely,Very strong,False,normalized_email_match,R_PD_000205,R_BM_000065
NNEP-R0228,owner@riverthreadscollective.example,emh_73b8dd5ea0,River Threads Collective,Midwest,Solo owner/operator,7,1,Stitch-count based,11,Partial Pricing System,Production Cost,2,3,2,2,2,2,Slightly confident,Broadly aligned,True,True,False,Sometimes,Very strong,False,exact_raw_email_match,R_PD_000213,R_BM_000066
NNEP-R0231,hello@riverdigitizingllc.example,emh_ade84d3fd4,River Digitizing LLC,Northeast,26+ employees,15,10,Hourly rate,18,Strong Pricing System,Production Cost,3,4,4,3,4,5,Very confident,Broadly aligned,True,True,False,Sometimes,Good,False,exact_raw_email_match,R_PD_000216,R_BM_000067
NNEP-R0245,hello0@magnoliacustomsshop.example,emh_f3514d7f65,Magnolia Customs Shop,Northeast,Solo owner/operator,1,1,Informal/custom quote,1,Pricing Blind Spots,Production Cost,0,0,0,0,1,2,Slightly confident,Broadly aligned,False,False,True,Frequently,Good,False,exact_raw_email_match,R_PD_000229,R_BM_000069
NNEP-R0250,info5@redbarnworksshop.example,emh_af7aa07841,Red Barn Works Shop,Northeast,6-10 employees,16,3,Cost-plus,10,Partial Pricing System,End Customer Value,3,2,2,2,1,4,Confident,Broadly aligned,True,False,False,Frequently,Good,False,exact_raw_email_match,R_PD_000234,R_BM_000070
NNEP-R0252,info@lakesidecreativellc.example,emh_cbf415516e,Lakeside Creative LLC,West,2-5 employees,19,4,Value-based,19,Strong Pricing System,Capacity Pressure,4,4,4,3,4,5,Very confident,Broadly aligned,False,True,False,Rarely,Very strong,True,exact_raw_email_match,R_PD_000236,R_BM_000071
NNEP-R0258,hello@sunrisewearablescompan.example,emh_c7a3c34287,Sunrise Wearables Company,Canada/Other,Solo owner/operator,1,2,Hybrid/job costing,12,Partial Pricing System,Real Labor,3,2,2,3,2,4,Confident,Broadly aligned,False,True,False,Rarely,Acceptable,False,exact_raw_email_match,R_PD_000242,R_BM_000072
NNEP-R0266,contact@bobbinbrandingllc.example,emh_82d034ab84,Bobbin Branding LLC,West,6-10 employees,33,5,Hybrid/job costing,20,Strong Pricing System,Production Cost,4,4,4,4,4,4,Confident,Broadly aligned,True,False,False,Rarely,Good,True,exact_raw_email_match,R_PD_000249,R_BM_000074
NNEP-R0274,sales@willowworkscompany.example,emh_79d4255e76,Willow Works Company,West,2-5 employees,6,4,Stitch-count based,5,Pricing Blind Spots,Intended Profit,2,1,0,1,1,2,Slightly confident,Broadly aligned,True,True,False,Frequently,Acceptable,True,normalized_email_match,R_PD_000256,R_BM_000076
NNEP-R0288,office1@mapleteamwearcollectiv.example,emh_a50198516c,Maple Teamwear Collective,West,2-5 employees,12,6,Informal/custom quote,12,Partial Pricing System,Intended Profit,3,3,2,2,2,2,Slightly confident,Broadly aligned,True,True,False,Sometimes,Variable,False,exact_raw_email_match,R_PD_000270,R_BM_000077
NNEP-R0294,info@needledesignsshop.example,emh_763c38789a,Needle Designs Shop,Midwest,Solo owner/operator,7,3,Stitch-count based,5,Pricing Blind Spots,Capacity Pressure,2,1,1,0,1,1,Not confident,Broadly aligned,False,True,False,Rarely,Acceptable,False,exact_raw_email_match,R_PD_000276,R_BM_000078
NNEP-R0300,info@stitchcreative.example,emh_d3c594bd05,Stitch Creative,West,2-5 employees,1,6,Hybrid/job costing,17,Strong Pricing System,Intended Profit,4,4,3,3,3,3,Somewhat confident,Underconfident relative to diagnostic,True,True,True,Sometimes,Very strong,False,exact_raw_email_match,R_PD_000282,R_BM_000079
NNEP-R0303,sales2@cedarlogoshopcompany.example,emh_07193c09dc,Cedar Logo Shop Company,Northeast,11-25 employees,19,12,Hybrid/job costing,18,Strong Pricing System,Production Cost,3,4,3,4,4,4,Confident,Broadly aligned,True,True,False,Rarely,Acceptable,False,exact_raw_email_match,R_PD_000285,R_BM_000080
NNEP-R0309,office1@willowneedleworkscompa.example,emh_6b8faa30e8,Willow Needleworks Company,South,Solo owner/operator,19,2,Hybrid/job costing,15,Partial Pricing System,Intended Profit,3,4,2,3,3,4,Confident,Broadly aligned,False,False,False,Sometimes,Variable,True,exact_raw_email_match,R_PD_000288,R_BM_000084
NNEP-R0311,contact@prairiedesignsstudio.example,emh_f41eab0c2f,Prairie Designs Studio,South,6-10 employees,1,2,Cost-plus,12,Partial Pricing System,Real Labor,3,1,2,2,4,2,Slightly confident,Broadly aligned,False,False,False,Rarely,Variable,False,exact_raw_email_match,R_PD_000290,R_BM_000085
NNEP-R0317,owner@brightdecoratedgoodssh.example,emh_93664f50c6,Bright Decorated Goods Shop,South,2-5 employees,6,2,Hybrid/job costing,15,Partial Pricing System,Capacity Pressure,4,3,3,2,3,3,Somewhat confident,Broadly aligned,False,True,True,Frequently,Very strong,False,exact_raw_email_match,R_PD_000296,R_BM_000086
NNEP-R0318,sales@hoopcustomscollective.example,emh_260609e6ba,Hoop Customs Collective,West,26+ employees,26,30,Hourly rate,20,Strong Pricing System,Production Cost,4,4,4,4,4,3,Somewhat confident,Underconfident relative to diagnostic,True,False,False,Rarely,Good,False,exact_raw_email_match,R_PD_000297,R_BM_000087
NNEP-R0323,info1@cedarcustomsgroup.example,emh_6d6074faad,Cedar Customs Group,South,6-10 employees,9,6,Cost-plus,9,Partial Pricing System,Capacity Pressure,2,2,2,1,2,4,Confident,Broadly aligned,True,True,True,Never,Variable,False,exact_raw_email_match,R_PD_000302,R_BM_000088
NNEP-R0325,owner@crownprintstitch.example,emh_8dc56baec9,Crown Print & Stitch,West,Solo owner/operator,16,1,Hybrid/job costing,15,Partial Pricing System,Capacity Pressure,4,3,3,2,3,4,Confident,Broadly aligned,False,True,False,Sometimes,Acceptable,True,exact_raw_email_match,R_PD_000304,R_BM_000089
NNEP-R0331,owner@mapledecoratedgoodsstu.example,emh_fb9428fd3f,Maple Decorated Goods Studio,Northeast,6-10 employees,5,6,Cost-plus,17,Strong Pricing System,Intended Profit,4,4,2,4,3,4,Confident,Broadly aligned,True,True,True,Rarely,Very strong,True,exact_raw_email_match,R_PD_000309,R_BM_000091
NNEP-R0334,office@brightstitchco.example,emh_4c91c422f2,Bright Stitch Co.,Midwest,Solo owner/operator,15,1,Hybrid/job costing,14,Partial Pricing System,Intended Profit,4,3,2,2,3,5,Very confident,Potentially overconfident,False,True,False,Sometimes,Struggling,True,normalized_email_match,R_PD_000312,R_BM_000092
NNEP-R0344,sales@summitworksllc.example,emh_346fd56f98,Summit Works LLC,Midwest,Solo owner/operator,8,1,Stitch-count based,10,Partial Pricing System,Production Cost,2,2,2,2,2,3,Somewhat confident,Broadly aligned,False,True,True,Sometimes,Variable,False,exact_raw_email_match,R_PD_000320,R_BM_000095
NNEP-R0346,owner@summitdesignsstudio.example,emh_dafccced6f,Summit Designs Studio,West,2-5 employees,11,2,Informal/custom quote,1,Pricing Blind Spots,Real Labor,1,0,0,0,0,4,Confident,Overconfident relative to diagnostic,True,False,False,Sometimes,Very strong,False,exact_raw_email_match,R_PD_000322,R_BM_000096
NNEP-R0354,contact4@crowncreativeshop.example,emh_0fbb17a40b,Crown Creative Shop,Midwest,Solo owner/operator,0,2,Stitch-count based,1,Pricing Blind Spots,Production Cost,0,1,0,0,0,2,Slightly confident,Broadly aligned,True,False,True,Rarely,Struggling,False,exact_raw_email_match,R_PD_000329,R_BM_000098
NNEP-R0370,office6@ironmonogramscompany13.example,emh_4295562655,Iron Monograms Company #1370,West,2-5 employees,6,4,Stitch-count based,12,Partial Pricing System,Real Labor,3,2,2,2,3,4,Confident,Broadly aligned,True,True,True,Never,Very strong,False,exact_raw_email_match,R_PD_000344,R_BM_000100
NNEP-R0371,hello@stitchteamwearcollecti.example,emh_5d47e24210,Stitch Teamwear Collective #1371,Midwest,2-5 employees,12,4,Hybrid/job costing,12,Partial Pricing System,Real Labor,3,2,2,2,3,3,Somewhat confident,Broadly aligned,True,True,True,Rarely,Very strong,False,exact_raw_email_match,R_PD_000345,R_BM_000101
NNEP-R0375,office@needleprintstitch1375.example,emh_8b113c04b9,Needle Print & Stitch #1375,South,Solo owner/operator,1,1,Hourly rate,1,Pricing Blind Spots,Real Labor,1,0,0,0,0,3,Somewhat confident,Broadly aligned,False,False,False,Sometimes,Struggling,False,manual_review_suggested,R_PD_000348,R_BM_000103
NNEP-R0377,info@oakwearablesllc1377.example,emh_c7bd5ebbbb,Oak Wearables LLC #1377,Midwest,6-10 employees,23,4,Value-based,19,Strong Pricing System,Intended Profit,4,4,3,4,4,5,Very confident,Broadly aligned,True,True,True,Rarely,Very strong,False,exact_raw_email_match,R_PD_000350,R_BM_000104
NNEP-R0382,sales4@mapleapparelcompany138.example,emh_9d3ac07a33,Maple Apparel Company #1382,South,26+ employees,13,30,Stitch-count based,17,Strong Pricing System,Capacity Pressure,4,4,4,2,3,4,Confident,Broadly aligned,False,True,True,Sometimes,Acceptable,False,exact_raw_email_match,R_PD_000355,R_BM_000105
NNEP-R0387,office@riverdecoratedgoodsstu.example,emh_3124e50cdb,River Decorated Goods Studio #1387,Canada/Other,26+ employees,24,24,Hybrid/job costing,18,Strong Pricing System,Real Labor,4,3,4,3,4,5,Very confident,Broadly aligned,False,True,False,Rarely,Variable,True,normalized_email_match,R_PD_000358,R_BM_000108
NNEP-R0394,hello2@mapledecoratedgoodsstu.example,emh_b184336d30,Maple Decorated Goods Studio #1394,South,6-10 employees,0,5,Cost-plus,8,Partial Pricing System,Intended Profit,2,2,1,1,2,4,Confident,Broadly aligned,False,False,False,Rarely,Struggling,True,exact_raw_email_match,R_PD_000364,R_BM_000110
NNEP-R0399,contact0@ironcreative1399.example,emh_9a71851196,Iron Creative #1399,West,Solo owner/operator,8,1,Hourly rate,13,Partial Pricing System,Real Labor,4,2,3,2,2,5,Very confident,Potentially overconfident,True,False,False,Sometimes,Good,True,exact_raw_email_match,R_PD_000369,R_BM_000111
NNEP-R0403,quotes@willowstudiostudio1403.example,emh_e4aa1679da,Willow Studio Studio #1403,Northeast,6-10 employees,0,2,Informal/custom quote,12,Partial Pricing System,Real Labor,4,2,2,2,2,3,Somewhat confident,Broadly aligned,False,True,False,Frequently,Struggling,True,exact_raw_email_match,R_PD_000372,R_BM_000113
NNEP-R0412,info@blueridgedecoratedgood.example,emh_d00fdbc5d7,Blue Ridge Decorated Goods Collective #1412,Northeast,Solo owner/operator,4,3,Informal/custom quote,2,Pricing Blind Spots,Real Labor,1,0,0,0,1,2,Slightly confident,Broadly aligned,False,False,False,Rarely,Variable,True,exact_raw_email_match,R_PD_000381,R_BM_000114
NNEP-R0415,office@cedarcustomscollective.example,emh_6903a3c879,Cedar Customs Collective #1415,Midwest,11-25 employees,17,15,Hybrid/job costing,20,Strong Pricing System,Production Cost,4,4,4,4,4,5,Very confident,Broadly aligned,True,False,True,Frequently,Good,False,exact_raw_email_match,R_PD_000383,R_BM_000116
NNEP-R0417,info@redbarnapparelstudio14.example,emh_5ecfd866b6,Red Barn Apparel Studio #1417,Midwest,2-5 employees,21,3,Hybrid/job costing,15,Partial Pricing System,Intended Profit,4,3,2,3,3,3,Somewhat confident,Broadly aligned,True,False,True,Never,Variable,False,exact_raw_email_match,R_PD_000385,R_BM_000117
