audit_id,dataset,raw_response_id,respondent_id,issue_type,cleaning_action,retained_response_id,rationale
AUD-0061,Benchmark Survey,R_BM_000207,NNEP-R0417,duplicate_response,Excluded duplicate; retained best complete response,R_BM_000117,Same normalized email/business as retained benchmark row.
AUD-0062,Benchmark Survey,R_BM_000208,NNEP-R0346,duplicate_response,Excluded duplicate; retained best complete response,R_BM_000096,Same normalized email/business as retained benchmark row.
AUD-0063,Benchmark Survey,R_BM_000209,NNEP-R0666,duplicate_response,Excluded duplicate; retained best complete response,R_BM_000182,Same normalized email/business as retained benchmark row.
AUD-0064,Benchmark Survey,R_BM_000210,NNEP-R0252,duplicate_response,Excluded duplicate; retained best complete response,R_BM_000071,Same normalized email/business as retained benchmark row.
AUD-0065,Benchmark Survey,R_BM_000211,NNEP-R0134,duplicate_response,Excluded duplicate; retained best complete response,R_BM_000045,Same normalized email/business as retained benchmark row.
AUD-0066,Benchmark Survey,R_BM_000212,NNEP-R0575,duplicate_response,Excluded duplicate; retained best complete response,R_BM_000159,Same normalized email/business as retained benchmark row.
AUD-0067,Benchmark Survey,R_BM_000213,NNEP-R0374,duplicate_response,Excluded duplicate; retained best complete response,R_BM_000102,Same normalized email/business as retained benchmark row.
AUD-0068,Benchmark Survey,R_BM_000214,NNEP-R0220,partial_response,Excluded from benchmark dataset,,Progress below 80% or missing key benchmark items.
AUD-0069,Benchmark Survey,R_BM_000215,NNEP-R0101,partial_response,Excluded from benchmark dataset,,Progress below 80% or missing key benchmark items.
AUD-0070,Benchmark Survey,R_BM_000216,NNEP-R0694,partial_response,Excluded from benchmark dataset,,Progress below 80% or missing key benchmark items.
AUD-0071,Benchmark Survey,R_BM_000217,NNEP-R0288,partial_response,Excluded from benchmark dataset,,Progress below 80% or missing key benchmark items.
AUD-0072,Benchmark Survey,R_BM_000218,NNEP-R0533,partial_response,Excluded from benchmark dataset,,Progress below 80% or missing key benchmark items.
AUD-0073,Benchmark Survey,R_BM_000219,NNEP-R0325,partial_response,Excluded from benchmark dataset,,Progress below 80% or missing key benchmark items.
AUD-0074,Benchmark Survey,R_BM_000220,NNEP-R0666,partial_response,Excluded from benchmark dataset,,Progress below 80% or missing key benchmark items.
AUD-0075,Benchmark Survey,R_BM_000221,NNEP-R0487,partial_response,Excluded from benchmark dataset,,Progress below 80% or missing key benchmark items.
AUD-0076,Benchmark Survey,R_BM_000222,,test_or_preview,Excluded,,"Preview/test indicators, junk business name, or implausibly short duration."
AUD-0077,Benchmark Survey,R_BM_000223,,test_or_preview,Excluded,,"Preview/test indicators, junk business name, or implausibly short duration."
AUD-0078,Benchmark Survey,R_BM_000224,,test_or_preview,Excluded,,"Preview/test indicators, junk business name, or implausibly short duration."
